participantId,blockNumber,taskIndexInBlock,taskKey,visualizationId,datasetId,eventType,eventTarget,eventValue,eventSteps,timestamp
0da5cbab-ef20-4021-a1f8-3c7aceb84534,1,1,T5,psb3d_llm,base-1-pib,zoom,canvas,zoomIn,1,2026-06-25T13:35:26.334Z
0da5cbab-ef20-4021-a1f8-3c7aceb84534,1,1,T5,psb3d_llm,base-1-pib,zoom,canvas,zoomIn,1,2026-06-25T13:35:26.704Z
0da5cbab-ef20-4021-a1f8-3c7aceb84534,1,1,T5,psb3d_llm,base-1-pib,zoom,canvas,zoomOut,1,2026-06-25T13:35:42.315Z
0da5cbab-ef20-4021-a1f8-3c7aceb84534,1,2,T5,psb25d_manual,base-4-populacao-residente,zoom,canvas,zoomIn,2,2026-06-25T13:39:20.561Z
0da5cbab-ef20-4021-a1f8-3c7aceb84534,1,2,T5,psb25d_manual,base-4-populacao-residente,slider,gapSize,26,,2026-06-25T13:39:25.106Z
0da5cbab-ef20-4021-a1f8-3c7aceb84534,1,2,T5,psb25d_manual,base-4-populacao-residente,slider,Posição da quebra,0.46,,2026-06-25T13:39:28.578Z
0da5cbab-ef20-4021-a1f8-3c7aceb84534,1,2,T5,psb25d_manual,base-4-populacao-residente,zoom,canvas,zoomOut,2,2026-06-25T13:39:36.808Z
0da5cbab-ef20-4021-a1f8-3c7aceb84534,1,2,T5,psb25d_manual,base-4-populacao-residente,zoom,canvas,zoomOut,1,2026-06-25T13:39:37.308Z
0da5cbab-ef20-4021-a1f8-3c7aceb84534,1,2,T5,psb25d_manual,base-4-populacao-residente,zoom,canvas,zoomIn,2,2026-06-25T13:39:38.025Z
0da5cbab-ef20-4021-a1f8-3c7aceb84534,1,2,T5,psb25d_manual,base-4-populacao-residente,zoom,canvas,zoomOut,3,2026-06-25T13:39:38.908Z
0da5cbab-ef20-4021-a1f8-3c7aceb84534,1,3,T5,psb3d_opt,base-3-matriculas-fundamental,zoom,canvas,zoomIn,2,2026-06-25T13:42:38.232Z
0da5cbab-ef20-4021-a1f8-3c7aceb84534,1,3,T5,psb3d_opt,base-3-matriculas-fundamental,zoom,canvas,zoomOut,1,2026-06-25T13:42:38.799Z
