participantId,blockNumber,taskIndexInBlock,taskKey,visualizationId,datasetId,eventType,eventTarget,eventValue,eventSteps,timestamp
0f9082d4-7ef3-419c-823d-d019a939c14c,1,1,T5,psb25d_manual,base-2-ensino-superior,canvasMouseDown,canvas,221;636,,2026-06-24T15:31:26.084Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,1,T5,psb25d_manual,base-2-ensino-superior,canvasMouseUp,canvas,222;635,,2026-06-24T15:31:26.179Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,1,T5,psb25d_manual,base-2-ensino-superior,canvasMouseDown,canvas,173;626,,2026-06-24T15:31:26.371Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,1,T5,psb25d_manual,base-2-ensino-superior,canvasMouseUp,canvas,173;626,,2026-06-24T15:31:26.467Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,1,T5,psb25d_manual,base-2-ensino-superior,slider,Posição da quebra,0.53,,2026-06-24T15:31:32.219Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,1,T5,psb25d_manual,base-2-ensino-superior,slider,z,70.6,,2026-06-24T15:31:34.125Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,1,T5,psb25d_manual,base-2-ensino-superior,slider,gapSize,80,,2026-06-24T15:31:36.923Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,1,T5,psb25d_manual,base-2-ensino-superior,canvasMouseDown,canvas,201;628,,2026-06-24T15:31:56.836Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,1,T5,psb25d_manual,base-2-ensino-superior,canvasMouseUp,canvas,201;628,,2026-06-24T15:31:56.923Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,1,T5,psb25d_manual,base-2-ensino-superior,slider,z,31.2,,2026-06-24T15:32:03.019Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,1,T5,psb25d_manual,base-2-ensino-superior,slider,Posição da quebra,0.43,,2026-06-24T15:32:06.517Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,1,T5,psb25d_manual,base-2-ensino-superior,slider,gapSize,75,,2026-06-24T15:32:09.579Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,1,T5,psb25d_manual,base-2-ensino-superior,slider,z,17.7,,2026-06-24T15:32:12.839Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,2,T5,psb3d_manual,base-5-receita-impostos,slider,psbDepth,44.8,,2026-06-24T15:36:14.442Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,2,T5,psb3d_manual,base-5-receita-impostos,slider,psbBreakStartRatio,0.72,,2026-06-24T15:36:23.082Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,3,T5,psb25d_opt,base-1-pib,zoom,canvas,zoomIn,5,2026-06-24T15:38:11.514Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,3,T5,psb25d_opt,base-1-pib,zoom,canvas,zoomOut,5,2026-06-24T15:38:11.978Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,3,T5,psb25d_opt,base-1-pib,canvasMouseDown,canvas,585;166,,2026-06-24T15:38:12.791Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,3,T5,psb25d_opt,base-1-pib,zoom,canvas,zoomIn,4,2026-06-24T15:38:12.795Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,3,T5,psb25d_opt,base-1-pib,canvasMouseUp,canvas,587;161,,2026-06-24T15:38:12.902Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,3,T5,psb25d_opt,base-1-pib,canvasMouseDown,canvas,531;6,,2026-06-24T15:38:13.127Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,3,T5,psb25d_opt,base-1-pib,canvasMouseUp,canvas,541;16,,2026-06-24T15:38:13.230Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,3,T5,psb25d_opt,base-1-pib,canvasMouseDown,canvas,555;72,,2026-06-24T15:38:13.359Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,3,T5,psb25d_opt,base-1-pib,canvasMouseUp,canvas,544;111,,2026-06-24T15:38:13.526Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,4,T5,psb3d_opt,base-6-frota-motocicletas,zoom,canvas,zoomOut,3,2026-06-24T15:39:57.457Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,4,T5,psb3d_opt,base-6-frota-motocicletas,zoom,canvas,zoomIn,3,2026-06-24T15:39:57.958Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,5,T5,psb3d_llm,base-3-matriculas-fundamental,zoom,canvas,zoomIn,6,2026-06-24T15:41:24.103Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,5,T5,psb3d_llm,base-3-matriculas-fundamental,zoom,canvas,zoomOut,4,2026-06-24T15:41:29.069Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,5,T5,psb3d_llm,base-3-matriculas-fundamental,zoom,canvas,zoomOut,2,2026-06-24T15:41:29.553Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,5,T5,psb3d_llm,base-3-matriculas-fundamental,zoom,canvas,zoomOut,1,2026-06-24T15:41:29.886Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,5,T5,psb3d_llm,base-3-matriculas-fundamental,zoom,canvas,zoomOut,7,2026-06-24T15:41:30.603Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,5,T5,psb3d_llm,base-3-matriculas-fundamental,zoom,canvas,zoomIn,1,2026-06-24T15:41:32.553Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,5,T5,psb3d_llm,base-3-matriculas-fundamental,zoom,canvas,zoomIn,3,2026-06-24T15:41:33.185Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,5,T5,psb3d_llm,base-3-matriculas-fundamental,zoom,canvas,zoomIn,1,2026-06-24T15:41:33.686Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,5,T5,psb3d_llm,base-3-matriculas-fundamental,zoom,canvas,zoomIn,6,2026-06-24T15:41:42.286Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,6,T5,psb25d_llm,base-4-populacao-residente,zoom,canvas,zoomIn,5,2026-06-24T15:42:42.416Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,6,T5,psb25d_llm,base-4-populacao-residente,zoom,canvas,zoomIn,4,2026-06-24T15:42:51.999Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,6,T5,psb25d_llm,base-4-populacao-residente,canvasMouseDown,canvas,721;33,,2026-06-24T15:42:52.203Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,6,T5,psb25d_llm,base-4-populacao-residente,canvasMouseUp,canvas,727;98,,2026-06-24T15:42:52.515Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,6,T5,psb25d_llm,base-4-populacao-residente,canvasMouseDown,canvas,659;44,,2026-06-24T15:42:52.739Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,6,T5,psb25d_llm,base-4-populacao-residente,canvasMouseUp,canvas,653;44,,2026-06-24T15:42:52.843Z
0f9082d4-7ef3-419c-823d-d019a939c14c,1,6,T5,psb25d_llm,base-4-populacao-residente,zoom,canvas,zoomIn,4,2026-06-24T15:42:53.516Z
0f9082d4-7ef3-419c-823d-d019a939c14c,2,1,T1,psb25d_manual,base-3-matriculas-fundamental,slider,z,73.5,,2026-06-24T15:44:26.545Z
0f9082d4-7ef3-419c-823d-d019a939c14c,2,1,T1,psb25d_manual,base-3-matriculas-fundamental,slider,gapSize,10,,2026-06-24T15:44:28.961Z
0f9082d4-7ef3-419c-823d-d019a939c14c,2,1,T1,psb25d_manual,base-3-matriculas-fundamental,slider,Posição da quebra,0.21,,2026-06-24T15:44:31.961Z
0f9082d4-7ef3-419c-823d-d019a939c14c,2,1,T1,psb25d_manual,base-3-matriculas-fundamental,canvasMouseDown,canvas,610;320,,2026-06-24T15:44:32.683Z
0f9082d4-7ef3-419c-823d-d019a939c14c,2,1,T1,psb25d_manual,base-3-matriculas-fundamental,canvasMouseUp,canvas,610;320,,2026-06-24T15:44:32.769Z
0f9082d4-7ef3-419c-823d-d019a939c14c,2,3,T1,psb3d_manual,base-4-populacao-residente,zoom,canvas,zoomOut,5,2026-06-24T15:46:34.290Z
0f9082d4-7ef3-419c-823d-d019a939c14c,2,3,T1,psb3d_manual,base-4-populacao-residente,zoom,canvas,zoomIn,7,2026-06-24T15:46:35.257Z
0f9082d4-7ef3-419c-823d-d019a939c14c,2,3,T1,psb3d_manual,base-4-populacao-residente,zoom,canvas,zoomIn,4,2026-06-24T15:46:36.091Z
0f9082d4-7ef3-419c-823d-d019a939c14c,2,3,T1,psb3d_manual,base-4-populacao-residente,zoom,canvas,zoomOut,4,2026-06-24T15:46:36.640Z
0f9082d4-7ef3-419c-823d-d019a939c14c,2,3,T1,psb3d_manual,base-4-populacao-residente,zoom,canvas,zoomOut,2,2026-06-24T15:46:37.024Z
0f9082d4-7ef3-419c-823d-d019a939c14c,2,3,T1,psb3d_manual,base-4-populacao-residente,zoom,canvas,zoomIn,4,2026-06-24T15:46:37.707Z
0f9082d4-7ef3-419c-823d-d019a939c14c,2,3,T1,psb3d_manual,base-4-populacao-residente,zoom,canvas,zoomIn,1,2026-06-24T15:46:38.740Z
0f9082d4-7ef3-419c-823d-d019a939c14c,2,6,T1,psb25d_llm,base-6-frota-motocicletas,canvasMouseDown,canvas,210;451,,2026-06-24T15:48:53.245Z
0f9082d4-7ef3-419c-823d-d019a939c14c,2,6,T1,psb25d_llm,base-6-frota-motocicletas,canvasMouseUp,canvas,191;434,,2026-06-24T15:48:53.372Z
0f9082d4-7ef3-419c-823d-d019a939c14c,2,6,T1,psb25d_llm,base-6-frota-motocicletas,canvasMouseDown,canvas,162;393,,2026-06-24T15:48:53.597Z
0f9082d4-7ef3-419c-823d-d019a939c14c,2,6,T1,psb25d_llm,base-6-frota-motocicletas,canvasMouseUp,canvas,162;393,,2026-06-24T15:48:53.724Z
0f9082d4-7ef3-419c-823d-d019a939c14c,2,6,T1,psb25d_llm,base-6-frota-motocicletas,canvasMouseDown,canvas,123;343,,2026-06-24T15:48:54.253Z
0f9082d4-7ef3-419c-823d-d019a939c14c,2,6,T1,psb25d_llm,base-6-frota-motocicletas,canvasMouseUp,canvas,51;227,,2026-06-24T15:48:54.899Z
0f9082d4-7ef3-419c-823d-d019a939c14c,2,6,T1,psb25d_llm,base-6-frota-motocicletas,canvasMouseDown,canvas,187;134,,2026-06-24T15:48:55.181Z
0f9082d4-7ef3-419c-823d-d019a939c14c,2,6,T1,psb25d_llm,base-6-frota-motocicletas,canvasMouseUp,canvas,222;135,,2026-06-24T15:48:55.364Z
0f9082d4-7ef3-419c-823d-d019a939c14c,2,6,T1,psb25d_llm,base-6-frota-motocicletas,canvasMouseDown,canvas,404;342,,2026-06-24T15:48:56.461Z
0f9082d4-7ef3-419c-823d-d019a939c14c,2,6,T1,psb25d_llm,base-6-frota-motocicletas,canvasMouseUp,canvas,404;342,,2026-06-24T15:48:56.548Z
0f9082d4-7ef3-419c-823d-d019a939c14c,3,1,T4,psb25d_manual,base-2-ensino-superior,zoom,canvas,zoomOut,1,2026-06-24T15:50:14.798Z
0f9082d4-7ef3-419c-823d-d019a939c14c,3,1,T4,psb25d_manual,base-2-ensino-superior,zoom,canvas,zoomIn,3,2026-06-24T15:50:15.215Z
0f9082d4-7ef3-419c-823d-d019a939c14c,3,1,T4,psb25d_manual,base-2-ensino-superior,slider,Posição da quebra,0.57,,2026-06-24T15:50:17.438Z
0f9082d4-7ef3-419c-823d-d019a939c14c,3,1,T4,psb25d_manual,base-2-ensino-superior,slider,z,23.5,,2026-06-24T15:50:20.938Z
0f9082d4-7ef3-419c-823d-d019a939c14c,3,1,T4,psb25d_manual,base-2-ensino-superior,slider,gapSize,59,,2026-06-24T15:50:23.802Z
0f9082d4-7ef3-419c-823d-d019a939c14c,3,1,T4,psb25d_manual,base-2-ensino-superior,slider,z,0,,2026-06-24T15:50:26.802Z
0f9082d4-7ef3-419c-823d-d019a939c14c,3,1,T4,psb25d_manual,base-2-ensino-superior,slider,Posição da quebra,0.59,,2026-06-24T15:50:29.546Z
0f9082d4-7ef3-419c-823d-d019a939c14c,3,1,T4,psb25d_manual,base-2-ensino-superior,slider,Posição da quebra,0.71,,2026-06-24T15:50:33.058Z
0f9082d4-7ef3-419c-823d-d019a939c14c,3,4,T4,psb3d_manual,base-5-receita-impostos,slider,psbDepth,50,,2026-06-24T15:54:21.694Z
0f9082d4-7ef3-419c-823d-d019a939c14c,3,5,T4,psb25d_opt,base-3-matriculas-fundamental,canvasMouseDown,canvas,605;326,,2026-06-24T15:55:41.127Z
0f9082d4-7ef3-419c-823d-d019a939c14c,3,5,T4,psb25d_opt,base-3-matriculas-fundamental,canvasMouseUp,canvas,605;326,,2026-06-24T15:55:41.238Z
0f9082d4-7ef3-419c-823d-d019a939c14c,3,6,T4,psb25d_llm,base-4-populacao-residente,canvasMouseDown,canvas,714;417,,2026-06-24T15:56:26.679Z
0f9082d4-7ef3-419c-823d-d019a939c14c,3,6,T4,psb25d_llm,base-4-populacao-residente,canvasMouseUp,canvas,714;417,,2026-06-24T15:56:26.773Z
