participantId,blockNumber,taskIndexInBlock,taskKey,visualizationId,datasetId,eventType,eventTarget,eventValue,eventSteps,timestamp
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,1,1,T5,psb25d_manual,base-3-matriculas-fundamental,zoom,canvas,zoomOut,3,2026-06-22T19:31:37.765Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,1,1,T5,psb25d_manual,base-3-matriculas-fundamental,zoom,canvas,zoomIn,3,2026-06-22T19:31:38.148Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,1,1,T5,psb25d_manual,base-3-matriculas-fundamental,canvasMouseDown,canvas,580;208,,2026-06-22T19:32:00.144Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,1,1,T5,psb25d_manual,base-3-matriculas-fundamental,canvasMouseUp,canvas,610;269,,2026-06-22T19:32:00.664Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,1,2,T5,psb25d_llm,base-5-receita-impostos,canvasMouseDown,canvas,594;217,,2026-06-22T19:33:32.036Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,1,2,T5,psb25d_llm,base-5-receita-impostos,canvasMouseUp,canvas,840;236,,2026-06-22T19:33:32.821Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,1,2,T5,psb25d_llm,base-5-receita-impostos,canvasMouseDown,canvas,962;70,,2026-06-22T19:33:33.309Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,1,2,T5,psb25d_llm,base-5-receita-impostos,canvasMouseUp,canvas,1060;229,,2026-06-22T19:33:34.029Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,1,2,T5,psb25d_llm,base-5-receita-impostos,canvasMouseDown,canvas,658;583,,2026-06-22T19:33:50.886Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,1,2,T5,psb25d_llm,base-5-receita-impostos,canvasMouseUp,canvas,702;485,,2026-06-22T19:33:51.252Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,1,2,T5,psb25d_llm,base-5-receita-impostos,zoom,canvas,zoomOut,7,2026-06-22T19:33:52.605Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,1,2,T5,psb25d_llm,base-5-receita-impostos,zoom,canvas,zoomOut,2,2026-06-22T19:33:53.255Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,1,6,T5,psb3d_manual,base-2-ensino-superior,slider,psbBreakStartRatio,0.2,,2026-06-22T19:41:55.178Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,1,6,T5,psb3d_manual,base-2-ensino-superior,slider,psbFoldVisualHeight,4,,2026-06-22T19:42:03.706Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,1,6,T5,psb3d_manual,base-2-ensino-superior,slider,psbDepth,38.8,,2026-06-22T19:42:15.605Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,1,6,T5,psb3d_manual,base-2-ensino-superior,slider,psbFoldVisualHeight,0.2,,2026-06-22T19:42:22.084Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,2,1,T4,psb25d_llm,base-1-pib,zoom,canvas,zoomIn,1,2026-06-22T19:44:18.334Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,2,1,T4,psb25d_llm,base-1-pib,zoom,canvas,zoomIn,4,2026-06-22T19:44:19.285Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,2,3,T4,psb25d_opt,base-5-receita-impostos,canvasMouseDown,canvas,120;66,,2026-06-22T19:47:38.826Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,2,3,T4,psb25d_opt,base-5-receita-impostos,canvasMouseUp,canvas,181;171,,2026-06-22T19:47:39.241Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,2,3,T4,psb25d_opt,base-5-receita-impostos,canvasMouseDown,canvas,192;142,,2026-06-22T19:47:39.497Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,2,3,T4,psb25d_opt,base-5-receita-impostos,canvasMouseUp,canvas,211;189,,2026-06-22T19:47:39.833Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,2,3,T4,psb25d_opt,base-5-receita-impostos,canvasMouseDown,canvas,232;180,,2026-06-22T19:47:39.969Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,2,3,T4,psb25d_opt,base-5-receita-impostos,canvasMouseUp,canvas,253;214,,2026-06-22T19:47:40.161Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,3,6,T1,psb3d_llm,base-5-receita-impostos,zoom,canvas,zoomOut,4,2026-06-22T19:59:27.517Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,3,6,T1,psb3d_llm,base-5-receita-impostos,zoom,canvas,zoomOut,3,2026-06-22T19:59:28.629Z
1222e3ae-9ba2-4e96-b2ab-3d763a50789c,3,6,T1,psb3d_llm,base-5-receita-impostos,zoom,canvas,zoomIn,2,2026-06-22T19:59:29.013Z
