participantId,blockNumber,taskIndexInBlock,taskKey,visualizationId,datasetId,eventType,eventTarget,eventValue,eventSteps,timestamp
3ba50609-dd9f-4f5c-883b-4f5975144a2a,1,1,T4,psb25d_manual,base-5-receita-impostos,slider,Posição da quebra,0.36,,2026-06-24T12:43:24.092Z
3ba50609-dd9f-4f5c-883b-4f5975144a2a,1,1,T4,psb25d_manual,base-5-receita-impostos,slider,z,87.6,,2026-06-24T12:43:37.669Z
3ba50609-dd9f-4f5c-883b-4f5975144a2a,1,1,T4,psb25d_manual,base-5-receita-impostos,canvasMouseDown,canvas,455;10,,2026-06-24T12:43:37.718Z
3ba50609-dd9f-4f5c-883b-4f5975144a2a,1,1,T4,psb25d_manual,base-5-receita-impostos,canvasMouseUp,canvas,461;11,,2026-06-24T12:43:38.605Z
3ba50609-dd9f-4f5c-883b-4f5975144a2a,1,1,T4,psb25d_manual,base-5-receita-impostos,slider,z,0,,2026-06-24T12:43:40.756Z
3ba50609-dd9f-4f5c-883b-4f5975144a2a,1,1,T4,psb25d_manual,base-5-receita-impostos,slider,Posição da quebra,0.25,,2026-06-24T12:43:43.613Z
3ba50609-dd9f-4f5c-883b-4f5975144a2a,1,1,T4,psb25d_manual,base-5-receita-impostos,slider,z,95.1,,2026-06-24T12:43:50.541Z
3ba50609-dd9f-4f5c-883b-4f5975144a2a,1,1,T4,psb25d_manual,base-5-receita-impostos,slider,z,82.2,,2026-06-24T12:43:55.278Z
3ba50609-dd9f-4f5c-883b-4f5975144a2a,1,1,T4,psb25d_manual,base-5-receita-impostos,slider,z,22.1,,2026-06-24T12:43:58.022Z
3ba50609-dd9f-4f5c-883b-4f5975144a2a,1,1,T4,psb25d_manual,base-5-receita-impostos,slider,z,7.6,,2026-06-24T12:44:01.982Z
3ba50609-dd9f-4f5c-883b-4f5975144a2a,1,3,T4,psb25d_opt,base-6-frota-motocicletas,zoom,canvas,zoomIn,2,2026-06-24T12:46:44.127Z
3ba50609-dd9f-4f5c-883b-4f5975144a2a,1,4,T4,psb3d_manual,base-3-matriculas-fundamental,slider,psbBreakStartRatio,0.52,,2026-06-24T12:48:48.251Z
3ba50609-dd9f-4f5c-883b-4f5975144a2a,1,4,T4,psb3d_manual,base-3-matriculas-fundamental,slider,psbFoldVisualHeight,1.2,,2026-06-24T12:49:21.243Z
3ba50609-dd9f-4f5c-883b-4f5975144a2a,1,4,T4,psb3d_manual,base-3-matriculas-fundamental,slider,psbFoldVisualHeight,4,,2026-06-24T12:49:25.307Z
3ba50609-dd9f-4f5c-883b-4f5975144a2a,1,4,T4,psb3d_manual,base-3-matriculas-fundamental,slider,psbBreakStartRatio,0.2,,2026-06-24T12:49:30.097Z
3ba50609-dd9f-4f5c-883b-4f5975144a2a,1,6,T4,psb25d_llm,base-2-ensino-superior,canvasMouseDown,canvas,363;232,,2026-06-24T12:52:44.655Z
3ba50609-dd9f-4f5c-883b-4f5975144a2a,1,6,T4,psb25d_llm,base-2-ensino-superior,canvasMouseUp,canvas,409;267,,2026-06-24T12:52:45.375Z
3ba50609-dd9f-4f5c-883b-4f5975144a2a,1,6,T4,psb25d_llm,base-2-ensino-superior,canvasMouseDown,canvas,187;610,,2026-06-24T12:52:50.232Z
3ba50609-dd9f-4f5c-883b-4f5975144a2a,1,6,T4,psb25d_llm,base-2-ensino-superior,canvasMouseUp,canvas,187;610,,2026-06-24T12:52:50.327Z
3ba50609-dd9f-4f5c-883b-4f5975144a2a,1,6,T4,psb25d_llm,base-2-ensino-superior,canvasMouseDown,canvas,260;621,,2026-06-24T12:52:50.543Z
