participantId,blockNumber,taskIndexInBlock,taskKey,visualizationId,datasetId,eventType,eventTarget,eventValue,eventSteps,timestamp
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,canvasMouseDown,canvas,1338;608,,2026-06-24T14:56:12.493Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,canvasMouseUp,canvas,1338;608,,2026-06-24T14:56:12.609Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,canvasMouseDown,canvas,1390;576,,2026-06-24T14:56:12.925Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,canvasMouseUp,canvas,1390;576,,2026-06-24T14:56:13.129Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,canvasMouseDown,canvas,1412;115,,2026-06-24T14:56:15.341Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,canvasMouseUp,canvas,1412;115,,2026-06-24T14:56:15.521Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,zoom,canvas,zoomIn,2,2026-06-24T14:56:17.113Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,canvasMouseDown,canvas,484;69,,2026-06-24T14:56:17.805Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,canvasMouseUp,canvas,678;105,,2026-06-24T14:56:18.153Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,canvasMouseDown,canvas,1394;127,,2026-06-24T14:56:19.445Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,canvasMouseUp,canvas,1400;235,,2026-06-24T14:56:19.633Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,canvasMouseDown,canvas,1398;395,,2026-06-24T14:56:21.341Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,canvasMouseUp,canvas,1398;395,,2026-06-24T14:56:21.545Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,canvasMouseDown,canvas,1398;543,,2026-06-24T14:56:21.701Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,canvasMouseUp,canvas,1383;576,,2026-06-24T14:56:21.897Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,zoom,canvas,zoomIn,3,2026-06-24T14:56:23.442Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,canvasMouseDown,canvas,1396;133,,2026-06-24T14:56:27.293Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,canvasMouseUp,canvas,1400;141,,2026-06-24T14:56:29.785Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,canvasMouseDown,canvas,470;59,,2026-06-24T14:56:51.189Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,canvasMouseDown,canvas,121;51,,2026-06-24T14:56:52.076Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,canvasMouseDown,canvas,823;377,,2026-06-24T14:56:52.604Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,canvasMouseUp,canvas,823;377,,2026-06-24T14:56:52.768Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,canvasMouseDown,canvas,1399;184,,2026-06-24T14:56:54.628Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,1,T1,psb25d_opt,base-4-populacao-residente,canvasMouseUp,canvas,1393;223,,2026-06-24T14:56:54.776Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,2,T1,psb25d_llm,base-2-ensino-superior,canvasMouseDown,canvas,363;409,,2026-06-24T14:58:32.443Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,2,T1,psb25d_llm,base-2-ensino-superior,canvasMouseUp,canvas,363;409,,2026-06-24T14:58:32.591Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,2,T1,psb25d_llm,base-2-ensino-superior,canvasMouseDown,canvas,104;649,,2026-06-24T14:58:39.771Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,2,T1,psb25d_llm,base-2-ensino-superior,canvasMouseDown,canvas,196;631,,2026-06-24T14:58:40.331Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,2,T1,psb25d_llm,base-2-ensino-superior,canvasMouseUp,canvas,196;631,,2026-06-24T14:58:40.478Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,zoom,canvas,zoomIn,2,2026-06-24T15:00:11.936Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbDepth,0,,2026-06-24T15:00:23.269Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,zoom,canvas,zoomOut,1,2026-06-24T15:00:24.219Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,zoom,canvas,zoomIn,1,2026-06-24T15:00:25.304Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbFoldVisualHeight,2.8,,2026-06-24T15:00:26.357Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbDepth,0,,2026-06-24T15:00:28.741Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbDepth,4.6,,2026-06-24T15:00:29.195Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbDepth,29.6,,2026-06-24T15:00:30.909Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbBreakStartRatio,0.73,,2026-06-24T15:00:32.526Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbBreakStartRatio,0.62,,2026-06-24T15:00:33.374Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbBreakStartRatio,0.62,,2026-06-24T15:00:34.030Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbBreakStartRatio,0.32,,2026-06-24T15:00:34.926Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbDepth,13.2,,2026-06-24T15:00:36.486Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbDepth,13.2,,2026-06-24T15:00:38.286Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbDepth,31.4,,2026-06-24T15:00:39.166Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbBreakStartRatio,0.85,,2026-06-24T15:00:46.308Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbFoldVisualHeight,2.1,,2026-06-24T15:00:47.332Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbFoldVisualHeight,2.1,,2026-06-24T15:00:47.924Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbFoldVisualHeight,0.6,,2026-06-24T15:00:48.892Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbFoldVisualHeight,0.2,,2026-06-24T15:00:49.732Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbDepth,0,,2026-06-24T15:00:51.675Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,zoom,canvas,zoomOut,2,2026-06-24T15:00:53.119Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,zoom,canvas,zoomIn,6,2026-06-24T15:00:54.034Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,zoom,canvas,zoomIn,2,2026-06-24T15:00:54.385Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbBreakStartRatio,0.62,,2026-06-24T15:00:55.482Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbBreakStartRatio,0.29,,2026-06-24T15:00:56.466Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbDepth,6,,2026-06-24T15:00:58.226Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbDepth,13.6,,2026-06-24T15:00:59.697Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbDepth,34.8,,2026-06-24T15:01:00.377Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,3,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbBreakStartRatio,0.2,,2026-06-24T15:01:05.923Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,4,T1,psb3d_opt,base-1-pib,zoom,canvas,zoomIn,2,2026-06-24T15:02:17.615Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,canvasMouseDown,canvas,811;508,,2026-06-24T15:03:23.524Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,canvasMouseUp,canvas,811;508,,2026-06-24T15:03:23.696Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,slider,Posição da quebra,0.07,,2026-06-24T15:03:25.200Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,slider,Posição da quebra,0.32,,2026-06-24T15:03:26.000Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,slider,z,76.4,,2026-06-24T15:03:26.936Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,slider,z,97.5,,2026-06-24T15:03:27.504Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,zoom,canvas,zoomOut,1,2026-06-24T15:03:28.568Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,zoom,canvas,zoomOut,4,2026-06-24T15:03:29.159Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,slider,z,0,,2026-06-24T15:03:30.392Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,zoom,canvas,zoomOut,2,2026-06-24T15:03:31.342Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,slider,z,33.1,,2026-06-24T15:03:37.120Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,slider,z,65.8,,2026-06-24T15:03:38.608Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,slider,z,75.4,,2026-06-24T15:03:39.376Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,slider,z,75.4,,2026-06-24T15:03:39.944Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,zoom,canvas,zoomOut,3,2026-06-24T15:03:40.864Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,slider,z,12.9,,2026-06-24T15:03:41.816Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,slider,z,0,,2026-06-24T15:03:43.281Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,zoom,canvas,zoomOut,2,2026-06-24T15:03:44.541Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,slider,gapSize,66,,2026-06-24T15:03:53.640Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,slider,gapSize,29,,2026-06-24T15:03:54.098Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,slider,gapSize,39,,2026-06-24T15:03:54.552Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,slider,gapSize,49,,2026-06-24T15:03:54.968Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,slider,gapSize,49,,2026-06-24T15:03:55.315Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,slider,Posição da quebra,0.61,,2026-06-24T15:03:56.681Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,5,T1,psb25d_manual,base-5-receita-impostos,slider,Posição da quebra,0.27,,2026-06-24T15:03:59.137Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,6,T1,psb3d_llm,base-3-matriculas-fundamental,zoom,canvas,zoomIn,2,2026-06-24T15:05:31.105Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,1,6,T1,psb3d_llm,base-3-matriculas-fundamental,zoom,canvas,zoomOut,12,2026-06-24T15:05:32.574Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,2,1,T5,psb25d_manual,base-2-ensino-superior,zoom,canvas,zoomOut,2,2026-06-24T15:06:50.751Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,2,1,T5,psb25d_manual,base-2-ensino-superior,zoom,canvas,zoomIn,9,2026-06-24T15:06:51.967Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,2,1,T5,psb25d_manual,base-2-ensino-superior,canvasMouseDown,canvas,441;44,,2026-06-24T15:06:53.546Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,2,1,T5,psb25d_manual,base-2-ensino-superior,canvasMouseUp,canvas,441;44,,2026-06-24T15:06:53.718Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,2,1,T5,psb25d_manual,base-2-ensino-superior,canvasMouseDown,canvas,1178;536,,2026-06-24T15:07:02.139Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,2,1,T5,psb25d_manual,base-2-ensino-superior,canvasMouseUp,canvas,1177;535,,2026-06-24T15:07:02.295Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,2,1,T5,psb25d_manual,base-2-ensino-superior,zoom,canvas,zoomIn,1,2026-06-24T15:07:03.134Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,2,1,T5,psb25d_manual,base-2-ensino-superior,slider,z,25.4,,2026-06-24T15:07:03.542Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,2,1,T5,psb25d_manual,base-2-ensino-superior,slider,z,52.3,,2026-06-24T15:07:05.254Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,2,1,T5,psb25d_manual,base-2-ensino-superior,slider,z,31.2,,2026-06-24T15:07:05.966Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,2,1,T5,psb25d_manual,base-2-ensino-superior,slider,z,8.1,,2026-06-24T15:07:06.326Z
456fcff0-f55d-4d54-94b3-b942cfa8f2b1,2,1,T5,psb25d_manual,base-2-ensino-superior,slider,z,0,,2026-06-24T15:07:07.518Z
