participantId,blockNumber,taskIndexInBlock,taskKey,visualizationId,datasetId,eventType,eventTarget,eventValue,eventSteps,timestamp
4fff3da6-9ccb-4c5f-95f8-f55d2392c5e9,1,1,T4,psb3d_opt,base-4-populacao-residente,zoom,canvas,zoomOut,1,2026-06-25T14:21:14.086Z
4fff3da6-9ccb-4c5f-95f8-f55d2392c5e9,1,1,T4,psb3d_opt,base-4-populacao-residente,zoom,canvas,zoomOut,2,2026-06-25T14:21:14.670Z
4fff3da6-9ccb-4c5f-95f8-f55d2392c5e9,1,2,T4,psb25d_llm,base-2-ensino-superior,zoom,canvas,zoomOut,1,2026-06-25T14:23:34.856Z
4fff3da6-9ccb-4c5f-95f8-f55d2392c5e9,1,2,T4,psb25d_llm,base-2-ensino-superior,zoom,canvas,zoomOut,2,2026-06-25T14:23:35.363Z
4fff3da6-9ccb-4c5f-95f8-f55d2392c5e9,1,2,T4,psb25d_llm,base-2-ensino-superior,canvasMouseDown,canvas,460;516,,2026-06-25T14:23:36.023Z
4fff3da6-9ccb-4c5f-95f8-f55d2392c5e9,1,2,T4,psb25d_llm,base-2-ensino-superior,canvasMouseUp,canvas,460;516,,2026-06-25T14:23:36.084Z
4fff3da6-9ccb-4c5f-95f8-f55d2392c5e9,1,2,T4,psb25d_llm,base-2-ensino-superior,zoom,canvas,zoomIn,2,2026-06-25T14:23:36.765Z
4fff3da6-9ccb-4c5f-95f8-f55d2392c5e9,1,2,T4,psb25d_llm,base-2-ensino-superior,zoom,canvas,zoomOut,4,2026-06-25T14:23:43.747Z
4fff3da6-9ccb-4c5f-95f8-f55d2392c5e9,1,3,T4,psb3d_llm,base-6-frota-motocicletas,zoom,canvas,zoomOut,1,2026-06-25T14:24:57.363Z
4fff3da6-9ccb-4c5f-95f8-f55d2392c5e9,1,3,T4,psb3d_llm,base-6-frota-motocicletas,zoom,canvas,zoomOut,5,2026-06-25T14:25:35.022Z
4fff3da6-9ccb-4c5f-95f8-f55d2392c5e9,1,4,T4,psb25d_opt,base-5-receita-impostos,zoom,canvas,zoomOut,3,2026-06-25T14:26:07.714Z
4fff3da6-9ccb-4c5f-95f8-f55d2392c5e9,1,4,T4,psb25d_opt,base-5-receita-impostos,zoom,canvas,zoomIn,3,2026-06-25T14:26:08.191Z
4fff3da6-9ccb-4c5f-95f8-f55d2392c5e9,1,5,T4,psb25d_manual,base-1-pib,zoom,canvas,zoomOut,2,2026-06-25T14:28:14.077Z
4fff3da6-9ccb-4c5f-95f8-f55d2392c5e9,1,5,T4,psb25d_manual,base-1-pib,canvasMouseDown,canvas,957;27,,2026-06-25T14:28:14.399Z
4fff3da6-9ccb-4c5f-95f8-f55d2392c5e9,1,5,T4,psb25d_manual,base-1-pib,canvasMouseUp,canvas,896;94,,2026-06-25T14:28:14.668Z
4fff3da6-9ccb-4c5f-95f8-f55d2392c5e9,1,5,T4,psb25d_manual,base-1-pib,slider,z,0,,2026-06-25T14:28:18.444Z
4fff3da6-9ccb-4c5f-95f8-f55d2392c5e9,1,6,T4,psb3d_manual,base-3-matriculas-fundamental,slider,psbBreakStartRatio,0.2,,2026-06-25T14:29:32.108Z
4fff3da6-9ccb-4c5f-95f8-f55d2392c5e9,1,6,T4,psb3d_manual,base-3-matriculas-fundamental,slider,psbFoldVisualHeight,0.2,,2026-06-25T14:29:34.452Z
4fff3da6-9ccb-4c5f-95f8-f55d2392c5e9,1,6,T4,psb3d_manual,base-3-matriculas-fundamental,slider,psbDepth,50,,2026-06-25T14:29:38.404Z
4fff3da6-9ccb-4c5f-95f8-f55d2392c5e9,1,6,T4,psb3d_manual,base-3-matriculas-fundamental,slider,psbBreakStartRatio,0.2,,2026-06-25T14:29:40.198Z
