participantId,blockNumber,taskIndexInBlock,taskKey,visualizationId,datasetId,eventType,eventTarget,eventValue,eventSteps,timestamp
52f66258-3e00-4ccd-9350-c759a7adbd57,1,1,T4,psb25d_llm,base-5-receita-impostos,canvasMouseDown,canvas,1105;237,,2026-06-24T13:37:10.634Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,1,T4,psb25d_llm,base-5-receita-impostos,canvasMouseUp,canvas,944;269,,2026-06-24T13:37:11.066Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,1,T4,psb25d_llm,base-5-receita-impostos,canvasMouseDown,canvas,1217;620,,2026-06-24T13:37:18.527Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,1,T4,psb25d_llm,base-5-receita-impostos,canvasMouseUp,canvas,1218;624,,2026-06-24T13:37:18.670Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,1,T4,psb25d_llm,base-5-receita-impostos,canvasMouseDown,canvas,1237;626,,2026-06-24T13:37:18.918Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,1,T4,psb25d_llm,base-5-receita-impostos,canvasMouseUp,canvas,1237;626,,2026-06-24T13:37:19.048Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,1,T4,psb25d_llm,base-5-receita-impostos,canvasMouseDown,canvas,1257;628,,2026-06-24T13:38:06.360Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,1,T4,psb25d_llm,base-5-receita-impostos,canvasMouseUp,canvas,1257;629,,2026-06-24T13:38:06.490Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,1,T4,psb25d_llm,base-5-receita-impostos,canvasMouseDown,canvas,1170;631,,2026-06-24T13:38:06.835Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,1,T4,psb25d_llm,base-5-receita-impostos,canvasMouseUp,canvas,1169;638,,2026-06-24T13:38:06.974Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,1,T4,psb25d_llm,base-5-receita-impostos,canvasMouseDown,canvas,1188;200,,2026-06-24T13:38:07.656Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,2,T4,psb3d_manual,base-4-populacao-residente,slider,psbBreakStartRatio,0.34,,2026-06-24T13:41:14.248Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,2,T4,psb3d_manual,base-4-populacao-residente,slider,psbDepth,0,,2026-06-24T13:41:21.563Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,2,T4,psb3d_manual,base-4-populacao-residente,slider,psbFoldVisualHeight,0.2,,2026-06-24T13:41:25.676Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,2,T4,psb3d_manual,base-4-populacao-residente,slider,psbBreakStartRatio,0.36,,2026-06-24T13:41:27.245Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,3,T4,psb25d_opt,base-2-ensino-superior,canvasMouseDown,canvas,689;113,,2026-06-24T13:43:31.685Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,3,T4,psb25d_opt,base-2-ensino-superior,canvasMouseUp,canvas,689;113,,2026-06-24T13:43:31.817Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,3,T4,psb25d_opt,base-2-ensino-superior,canvasMouseDown,canvas,715;131,,2026-06-24T13:43:32.236Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,3,T4,psb25d_opt,base-2-ensino-superior,canvasMouseUp,canvas,615;130,,2026-06-24T13:43:32.673Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,3,T4,psb25d_opt,base-2-ensino-superior,zoom,canvas,zoomIn,5,2026-06-24T13:43:47.453Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,4,T4,psb3d_opt,base-3-matriculas-fundamental,zoom,canvas,zoomOut,6,2026-06-24T13:45:33.795Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,4,T4,psb3d_opt,base-3-matriculas-fundamental,zoom,canvas,zoomOut,4,2026-06-24T13:45:36.712Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,4,T4,psb3d_opt,base-3-matriculas-fundamental,zoom,canvas,zoomIn,3,2026-06-24T13:45:38.925Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,4,T4,psb3d_opt,base-3-matriculas-fundamental,zoom,canvas,zoomIn,2,2026-06-24T13:45:39.431Z
52f66258-3e00-4ccd-9350-c759a7adbd57,1,4,T4,psb3d_opt,base-3-matriculas-fundamental,zoom,canvas,zoomIn,2,2026-06-24T13:45:39.902Z
