participantId,blockNumber,taskIndexInBlock,taskKey,visualizationId,datasetId,eventType,eventTarget,eventValue,eventSteps,timestamp
7599f200-85dc-46fd-a907-eea95b9c7745,1,1,T5,psb25d_llm,base-4-populacao-residente,canvasMouseDown,canvas,585;49,,2026-06-22T13:49:34.288Z
7599f200-85dc-46fd-a907-eea95b9c7745,1,1,T5,psb25d_llm,base-4-populacao-residente,canvasMouseUp,canvas,582;111,,2026-06-22T13:49:34.512Z
7599f200-85dc-46fd-a907-eea95b9c7745,1,1,T5,psb25d_llm,base-4-populacao-residente,zoom,canvas,zoomOut,2,2026-06-22T13:49:44.856Z
7599f200-85dc-46fd-a907-eea95b9c7745,1,1,T5,psb25d_llm,base-4-populacao-residente,canvasMouseDown,canvas,459;49,,2026-06-22T13:49:46.416Z
7599f200-85dc-46fd-a907-eea95b9c7745,1,1,T5,psb25d_llm,base-4-populacao-residente,canvasMouseUp,canvas,458;47,,2026-06-22T13:49:46.536Z
7599f200-85dc-46fd-a907-eea95b9c7745,1,3,T5,psb3d_manual,base-1-pib,slider,psbDepth,7.4,,2026-06-22T13:54:26.221Z
7599f200-85dc-46fd-a907-eea95b9c7745,1,3,T5,psb3d_manual,base-1-pib,slider,psbDepth,3.8,,2026-06-22T13:54:27.788Z
7599f200-85dc-46fd-a907-eea95b9c7745,1,3,T5,psb3d_manual,base-1-pib,slider,psbDepth,14.6,,2026-06-22T13:54:28.228Z
7599f200-85dc-46fd-a907-eea95b9c7745,1,3,T5,psb3d_manual,base-1-pib,slider,psbDepth,0,,2026-06-22T13:54:30.333Z
7599f200-85dc-46fd-a907-eea95b9c7745,1,3,T5,psb3d_manual,base-1-pib,slider,psbDepth,2.8,,2026-06-22T13:54:38.177Z
7599f200-85dc-46fd-a907-eea95b9c7745,1,3,T5,psb3d_manual,base-1-pib,slider,psbFoldVisualHeight,1.4,,2026-06-22T13:54:47.598Z
7599f200-85dc-46fd-a907-eea95b9c7745,1,3,T5,psb3d_manual,base-1-pib,zoom,canvas,zoomIn,3,2026-06-22T13:55:06.639Z
7599f200-85dc-46fd-a907-eea95b9c7745,1,6,T5,psb25d_opt,base-2-ensino-superior,canvasMouseDown,canvas,566;112,,2026-06-22T13:59:19.620Z
