participantId,blockNumber,taskIndexInBlock,taskKey,visualizationId,datasetId,eventType,eventTarget,eventValue,eventSteps,timestamp
944cb3e3-3896-426d-ab78-90f14bd3b891,1,1,T5,psb3d_llm,base-2-ensino-superior,zoom,canvas,zoomOut,3,2026-06-24T12:55:16.267Z
944cb3e3-3896-426d-ab78-90f14bd3b891,1,1,T5,psb3d_llm,base-2-ensino-superior,zoom,canvas,zoomIn,1,2026-06-24T12:55:16.683Z
944cb3e3-3896-426d-ab78-90f14bd3b891,1,2,T5,psb25d_manual,base-5-receita-impostos,slider,z,59.9,,2026-06-24T12:59:47.241Z
944cb3e3-3896-426d-ab78-90f14bd3b891,1,2,T5,psb25d_manual,base-5-receita-impostos,slider,gapSize,80,,2026-06-24T12:59:49.308Z
944cb3e3-3896-426d-ab78-90f14bd3b891,1,2,T5,psb25d_manual,base-5-receita-impostos,slider,Posição da quebra,0.55,,2026-06-24T12:59:51.557Z
944cb3e3-3896-426d-ab78-90f14bd3b891,1,3,T5,psb25d_llm,base-6-frota-motocicletas,canvasMouseDown,canvas,84;50,,2026-06-24T13:01:46.227Z
944cb3e3-3896-426d-ab78-90f14bd3b891,1,3,T5,psb25d_llm,base-6-frota-motocicletas,canvasMouseUp,canvas,478;420,,2026-06-24T13:01:46.649Z
944cb3e3-3896-426d-ab78-90f14bd3b891,1,3,T5,psb25d_llm,base-6-frota-motocicletas,zoom,canvas,zoomOut,6,2026-06-24T13:01:47.868Z
944cb3e3-3896-426d-ab78-90f14bd3b891,1,3,T5,psb25d_llm,base-6-frota-motocicletas,canvasMouseUp,canvas,835;493,,2026-06-24T13:01:49.868Z
944cb3e3-3896-426d-ab78-90f14bd3b891,1,3,T5,psb25d_llm,base-6-frota-motocicletas,canvasMouseDown,canvas,915;499,,2026-06-24T13:01:50.200Z
944cb3e3-3896-426d-ab78-90f14bd3b891,1,3,T5,psb25d_llm,base-6-frota-motocicletas,canvasMouseUp,canvas,915;499,,2026-06-24T13:01:50.293Z
