participantId,blockNumber,taskIndexInBlock,taskKey,visualizationId,datasetId,eventType,eventTarget,eventValue,eventSteps,timestamp
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,1,1,T4,psb25d_opt,base-1-pib,zoom,canvas,zoomOut,25,2026-06-24T17:42:16.714Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,1,1,T4,psb25d_opt,base-1-pib,zoom,canvas,zoomOut,35,2026-06-24T17:42:17.387Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,1,1,T4,psb25d_opt,base-1-pib,zoom,canvas,zoomOut,48,2026-06-24T17:42:18.256Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,1,1,T4,psb25d_opt,base-1-pib,zoom,canvas,zoomOut,66,2026-06-24T17:42:19.278Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,1,1,T4,psb25d_opt,base-1-pib,zoom,canvas,zoomIn,42,2026-06-24T17:42:21.680Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,1,1,T4,psb25d_opt,base-1-pib,zoom,canvas,zoomOut,56,2026-06-24T17:42:22.900Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,1,1,T4,psb25d_opt,base-1-pib,zoom,canvas,zoomOut,54,2026-06-24T17:42:28.221Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,1,1,T4,psb25d_opt,base-1-pib,zoom,canvas,zoomOut,78,2026-06-24T17:42:30.761Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,1,4,T4,psb3d_manual,base-6-frota-motocicletas,zoom,canvas,zoomIn,33,2026-06-24T17:55:28.747Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,1,4,T4,psb3d_manual,base-6-frota-motocicletas,slider,psbBreakStartRatio,0.42,,2026-06-24T17:55:40.042Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,1,4,T4,psb3d_manual,base-6-frota-motocicletas,zoom,canvas,zoomOut,23,2026-06-24T17:55:41.774Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,1,4,T4,psb3d_manual,base-6-frota-motocicletas,zoom,canvas,zoomIn,40,2026-06-24T17:55:42.561Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,1,4,T4,psb3d_manual,base-6-frota-motocicletas,zoom,canvas,zoomOut,3,2026-06-24T17:55:42.928Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,1,5,T4,psb3d_llm,base-2-ensino-superior,zoom,canvas,zoomIn,26,2026-06-24T17:57:54.888Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,2,T5,psb25d_manual,base-4-populacao-residente,zoom,canvas,zoomOut,45,2026-06-24T18:05:39.832Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,2,T5,psb25d_manual,base-4-populacao-residente,zoom,canvas,zoomOut,48,2026-06-24T18:05:41.675Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,3,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomOut,22,2026-06-24T18:07:01.901Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,3,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomIn,15,2026-06-24T18:07:02.353Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,3,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomOut,24,2026-06-24T18:07:03.022Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,3,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomIn,10,2026-06-24T18:07:03.756Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,3,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomOut,5,2026-06-24T18:07:04.685Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,3,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomOut,1,2026-06-24T18:07:05.238Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,3,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomIn,29,2026-06-24T18:07:07.093Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,3,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomIn,75,2026-06-24T18:07:11.988Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,3,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomOut,13,2026-06-24T18:07:13.058Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,3,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomOut,1,2026-06-24T18:07:13.371Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,3,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomOut,9,2026-06-24T18:07:14.204Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,3,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomOut,40,2026-06-24T18:07:15.216Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,3,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomIn,22,2026-06-24T18:07:16.292Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,3,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomIn,42,2026-06-24T18:07:34.132Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,3,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomOut,1,2026-06-24T18:07:34.577Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,3,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomOut,22,2026-06-24T18:07:35.769Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,3,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomIn,22,2026-06-24T18:07:36.252Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,3,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomOut,1,2026-06-24T18:07:36.618Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,5,T5,psb25d_llm,base-3-matriculas-fundamental,zoom,canvas,zoomOut,57,2026-06-24T18:11:07.095Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,5,T5,psb25d_llm,base-3-matriculas-fundamental,zoom,canvas,zoomOut,51,2026-06-24T18:11:09.843Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,5,T5,psb25d_llm,base-3-matriculas-fundamental,zoom,canvas,zoomIn,24,2026-06-24T18:11:12.278Z
9a28cbc5-bcee-49bf-b30e-912cef49ff7e,2,5,T5,psb25d_llm,base-3-matriculas-fundamental,zoom,canvas,zoomOut,32,2026-06-24T18:11:13.196Z
