participantId,blockNumber,taskIndexInBlock,taskKey,visualizationId,datasetId,eventType,eventTarget,eventValue,eventSteps,timestamp
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,1,1,T4,psb3d_llm,base-2-ensino-superior,zoom,canvas,zoomOut,2,2026-06-24T13:16:36.425Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,1,2,T4,psb25d_opt,base-3-matriculas-fundamental,zoom,canvas,zoomIn,1,2026-06-24T13:18:44.763Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,1,2,T4,psb25d_opt,base-3-matriculas-fundamental,zoom,canvas,zoomOut,1,2026-06-24T13:19:18.254Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,1,3,T4,psb3d_manual,base-5-receita-impostos,slider,psbDepth,0,,2026-06-24T13:21:05.759Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,1,3,T4,psb3d_manual,base-5-receita-impostos,zoom,canvas,zoomOut,1,2026-06-24T13:21:22.940Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,1,6,T4,psb25d_llm,base-4-populacao-residente,zoom,canvas,zoomOut,3,2026-06-24T13:27:46.543Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,1,6,T4,psb25d_llm,base-4-populacao-residente,zoom,canvas,zoomIn,2,2026-06-24T13:27:47.079Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,2,2,T5,psb25d_llm,base-1-pib,zoom,canvas,zoomIn,1,2026-06-24T13:31:21.867Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,2,2,T5,psb25d_llm,base-1-pib,zoom,canvas,zoomIn,9,2026-06-24T13:31:22.888Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,3,1,T1,psb3d_llm,base-1-pib,zoom,canvas,zoomIn,3,2026-06-24T13:37:45.968Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,3,4,T1,psb25d_manual,base-6-frota-motocicletas,canvasMouseDown,canvas,1090;259,,2026-06-24T13:40:23.921Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,3,4,T1,psb25d_manual,base-6-frota-motocicletas,canvasMouseUp,canvas,1090;259,,2026-06-24T13:40:24.040Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,3,4,T1,psb25d_manual,base-6-frota-motocicletas,slider,z,61.9,,2026-06-24T13:40:27.427Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,3,4,T1,psb25d_manual,base-6-frota-motocicletas,canvasMouseDown,canvas,663;176,,2026-06-24T13:40:27.944Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,3,4,T1,psb25d_manual,base-6-frota-motocicletas,canvasMouseUp,canvas,524;254,,2026-06-24T13:40:28.392Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,3,4,T1,psb25d_manual,base-6-frota-motocicletas,canvasMouseUp,canvas,1289;378,,2026-06-24T13:40:29.208Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,3,4,T1,psb25d_manual,base-6-frota-motocicletas,canvasMouseDown,canvas,1253;364,,2026-06-24T13:40:30.544Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,3,4,T1,psb25d_manual,base-6-frota-motocicletas,canvasMouseDown,canvas,596;353,,2026-06-24T13:40:30.912Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,3,4,T1,psb25d_manual,base-6-frota-motocicletas,canvasMouseUp,canvas,593;354,,2026-06-24T13:40:31.000Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,3,4,T1,psb25d_manual,base-6-frota-motocicletas,canvasMouseDown,canvas,61;234,,2026-06-24T13:40:31.376Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,3,4,T1,psb25d_manual,base-6-frota-motocicletas,slider,gapSize,80,,2026-06-24T13:40:34.584Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,3,4,T1,psb25d_manual,base-6-frota-motocicletas,slider,Posição da quebra,0.05,,2026-06-24T13:40:43.951Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,3,4,T1,psb25d_manual,base-6-frota-motocicletas,slider,Posição da quebra,0.21,,2026-06-24T13:40:48.047Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,3,4,T1,psb25d_manual,base-6-frota-motocicletas,slider,z,74.4,,2026-06-24T13:40:54.423Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,3,4,T1,psb25d_manual,base-6-frota-motocicletas,slider,z,72.5,,2026-06-24T13:41:00.695Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,3,5,T1,psb25d_llm,base-4-populacao-residente,canvasMouseDown,canvas,557;605,,2026-06-24T13:41:36.503Z
a6e1cabe-ce58-41b8-9ee5-f250c3aab950,3,5,T1,psb25d_llm,base-4-populacao-residente,canvasMouseUp,canvas,556;605,,2026-06-24T13:41:36.679Z
