participantId,blockNumber,taskIndexInBlock,taskKey,visualizationId,datasetId,eventType,eventTarget,eventValue,eventSteps,timestamp
b21afff4-41df-484c-9ca0-7fdaa86add85,1,2,T5,psb25d_manual,base-3-matriculas-fundamental,slider,Posição da quebra,0.26,,2026-06-22T19:33:51.140Z
b21afff4-41df-484c-9ca0-7fdaa86add85,1,3,T5,psb3d_manual,base-5-receita-impostos,slider,psbFoldVisualHeight,4,,2026-06-22T19:35:26.708Z
b21afff4-41df-484c-9ca0-7fdaa86add85,1,3,T5,psb3d_manual,base-5-receita-impostos,slider,psbBreakStartRatio,0.2,,2026-06-22T19:35:31.692Z
b21afff4-41df-484c-9ca0-7fdaa86add85,1,3,T5,psb3d_manual,base-5-receita-impostos,slider,psbFoldVisualHeight,4,,2026-06-22T19:35:38.220Z
b21afff4-41df-484c-9ca0-7fdaa86add85,1,3,T5,psb3d_manual,base-5-receita-impostos,slider,psbDepth,32.2,,2026-06-22T19:35:49.804Z
b21afff4-41df-484c-9ca0-7fdaa86add85,2,2,T4,psb3d_manual,base-6-frota-motocicletas,slider,psbBreakStartRatio,0.2,,2026-06-22T19:41:18.796Z
b21afff4-41df-484c-9ca0-7fdaa86add85,2,2,T4,psb3d_manual,base-6-frota-motocicletas,slider,psbDepth,50,,2026-06-22T19:41:23.125Z
b21afff4-41df-484c-9ca0-7fdaa86add85,2,3,T4,psb25d_manual,base-5-receita-impostos,slider,Posição da quebra,0.9,,2026-06-22T19:42:30.380Z
b21afff4-41df-484c-9ca0-7fdaa86add85,2,3,T4,psb25d_manual,base-5-receita-impostos,slider,z,100,,2026-06-22T19:42:41.252Z
b21afff4-41df-484c-9ca0-7fdaa86add85,2,3,T4,psb25d_manual,base-5-receita-impostos,slider,gapSize,80,,2026-06-22T19:42:45.316Z
b21afff4-41df-484c-9ca0-7fdaa86add85,2,3,T4,psb25d_manual,base-5-receita-impostos,slider,gapSize,10,,2026-06-22T19:42:47.556Z
b21afff4-41df-484c-9ca0-7fdaa86add85,3,1,T1,psb25d_manual,base-4-populacao-residente,slider,Posição da quebra,0.35,,2026-06-22T19:47:30.036Z
b21afff4-41df-484c-9ca0-7fdaa86add85,3,1,T1,psb25d_manual,base-4-populacao-residente,slider,gapSize,80,,2026-06-22T19:47:33.292Z
b21afff4-41df-484c-9ca0-7fdaa86add85,3,1,T1,psb25d_manual,base-4-populacao-residente,slider,Posição da quebra,0.39,,2026-06-22T19:47:40.748Z
b21afff4-41df-484c-9ca0-7fdaa86add85,3,5,T1,psb3d_manual,base-2-ensino-superior,zoom,canvas,zoomOut,2,2026-06-22T19:51:00.105Z
b21afff4-41df-484c-9ca0-7fdaa86add85,3,5,T1,psb3d_manual,base-2-ensino-superior,zoom,canvas,zoomIn,3,2026-06-22T19:51:00.539Z
b21afff4-41df-484c-9ca0-7fdaa86add85,3,5,T1,psb3d_manual,base-2-ensino-superior,zoom,canvas,zoomOut,2,2026-06-22T19:51:01.173Z
b21afff4-41df-484c-9ca0-7fdaa86add85,3,5,T1,psb3d_manual,base-2-ensino-superior,zoom,canvas,zoomOut,2,2026-06-22T19:51:01.690Z
b21afff4-41df-484c-9ca0-7fdaa86add85,3,5,T1,psb3d_manual,base-2-ensino-superior,zoom,canvas,zoomIn,3,2026-06-22T19:51:02.091Z
b21afff4-41df-484c-9ca0-7fdaa86add85,3,5,T1,psb3d_manual,base-2-ensino-superior,slider,psbBreakStartRatio,0.85,,2026-06-22T19:51:07.380Z
b21afff4-41df-484c-9ca0-7fdaa86add85,3,5,T1,psb3d_manual,base-2-ensino-superior,slider,psbFoldVisualHeight,4,,2026-06-22T19:51:09.460Z
b21afff4-41df-484c-9ca0-7fdaa86add85,3,5,T1,psb3d_manual,base-2-ensino-superior,slider,psbBreakStartRatio,0.2,,2026-06-22T19:51:12.452Z
b21afff4-41df-484c-9ca0-7fdaa86add85,3,6,T1,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomIn,7,2026-06-22T19:51:54.018Z
