participantId,blockNumber,taskIndexInBlock,taskKey,visualizationId,datasetId,eventType,eventTarget,eventValue,eventSteps,timestamp
b79f7405-a912-48a5-a7d9-cc117a6743b2,1,1,T4,psb3d_manual,base-4-populacao-residente,slider,psbBreakStartRatio,0.2,,2026-06-24T15:04:44.505Z
b79f7405-a912-48a5-a7d9-cc117a6743b2,1,2,T4,psb25d_llm,base-1-pib,zoom,canvas,zoomIn,1,2026-06-24T15:08:48.466Z
b79f7405-a912-48a5-a7d9-cc117a6743b2,1,2,T4,psb25d_llm,base-1-pib,zoom,canvas,zoomIn,3,2026-06-24T15:09:11.068Z
b79f7405-a912-48a5-a7d9-cc117a6743b2,1,3,T4,psb25d_opt,base-3-matriculas-fundamental,canvasMouseDown,canvas,774;321,,2026-06-24T15:10:57.065Z
b79f7405-a912-48a5-a7d9-cc117a6743b2,1,3,T4,psb25d_opt,base-3-matriculas-fundamental,canvasMouseUp,canvas,759;415,,2026-06-24T15:10:57.464Z
b79f7405-a912-48a5-a7d9-cc117a6743b2,1,3,T4,psb25d_opt,base-3-matriculas-fundamental,canvasMouseDown,canvas,317;439,,2026-06-24T15:10:57.953Z
b79f7405-a912-48a5-a7d9-cc117a6743b2,1,3,T4,psb25d_opt,base-3-matriculas-fundamental,canvasMouseUp,canvas,316;439,,2026-06-24T15:10:58.088Z
b79f7405-a912-48a5-a7d9-cc117a6743b2,1,3,T4,psb25d_opt,base-3-matriculas-fundamental,zoom,canvas,zoomIn,2,2026-06-24T15:11:00.089Z
b79f7405-a912-48a5-a7d9-cc117a6743b2,1,3,T4,psb25d_opt,base-3-matriculas-fundamental,zoom,canvas,zoomOut,6,2026-06-24T15:11:01.373Z
b79f7405-a912-48a5-a7d9-cc117a6743b2,1,3,T4,psb25d_opt,base-3-matriculas-fundamental,canvasMouseDown,canvas,1261;97,,2026-06-24T15:11:01.736Z
b79f7405-a912-48a5-a7d9-cc117a6743b2,1,3,T4,psb25d_opt,base-3-matriculas-fundamental,canvasMouseUp,canvas,958;113,,2026-06-24T15:11:03.009Z
b79f7405-a912-48a5-a7d9-cc117a6743b2,1,3,T4,psb25d_opt,base-3-matriculas-fundamental,canvasMouseDown,canvas,41;104,,2026-06-24T15:11:13.618Z
b79f7405-a912-48a5-a7d9-cc117a6743b2,1,3,T4,psb25d_opt,base-3-matriculas-fundamental,canvasMouseUp,canvas,19;198,,2026-06-24T15:11:14.065Z
b79f7405-a912-48a5-a7d9-cc117a6743b2,1,3,T4,psb25d_opt,base-3-matriculas-fundamental,zoom,canvas,zoomIn,3,2026-06-24T15:11:15.079Z
b79f7405-a912-48a5-a7d9-cc117a6743b2,1,4,T4,psb3d_llm,base-2-ensino-superior,zoom,canvas,zoomIn,2,2026-06-24T15:13:00.249Z
b79f7405-a912-48a5-a7d9-cc117a6743b2,1,4,T4,psb3d_llm,base-2-ensino-superior,zoom,canvas,zoomOut,3,2026-06-24T15:13:10.510Z
b79f7405-a912-48a5-a7d9-cc117a6743b2,1,4,T4,psb3d_llm,base-2-ensino-superior,zoom,canvas,zoomIn,1,2026-06-24T15:13:11.787Z
b79f7405-a912-48a5-a7d9-cc117a6743b2,1,4,T4,psb3d_llm,base-2-ensino-superior,zoom,canvas,zoomIn,2,2026-06-24T15:13:12.203Z
b79f7405-a912-48a5-a7d9-cc117a6743b2,1,4,T4,psb3d_llm,base-2-ensino-superior,zoom,canvas,zoomIn,3,2026-06-24T15:13:12.621Z
b79f7405-a912-48a5-a7d9-cc117a6743b2,1,4,T4,psb3d_llm,base-2-ensino-superior,zoom,canvas,zoomOut,2,2026-06-24T15:13:13.504Z
