participantId,blockNumber,taskIndexInBlock,taskKey,visualizationId,datasetId,eventType,eventTarget,eventValue,eventSteps,timestamp
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,1,T5,psb3d_llm,base-6-frota-motocicletas,zoom,canvas,zoomOut,3,2026-06-24T15:03:58.992Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,1,T5,psb3d_llm,base-6-frota-motocicletas,zoom,canvas,zoomIn,4,2026-06-24T15:04:12.860Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,1,T5,psb3d_llm,base-6-frota-motocicletas,zoom,canvas,zoomIn,3,2026-06-24T15:04:13.328Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,1,T5,psb3d_llm,base-6-frota-motocicletas,zoom,canvas,zoomOut,2,2026-06-24T15:04:15.428Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,2,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomOut,2,2026-06-24T15:07:00.678Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,2,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomOut,1,2026-06-24T15:07:01.508Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,2,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomIn,4,2026-06-24T15:07:14.578Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,2,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomIn,3,2026-06-24T15:07:15.096Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,2,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomOut,2,2026-06-24T15:07:20.896Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,2,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomOut,3,2026-06-24T15:07:21.445Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,2,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomIn,6,2026-06-24T15:07:22.297Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,2,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomOut,4,2026-06-24T15:07:23.779Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,2,T5,psb3d_opt,base-5-receita-impostos,zoom,canvas,zoomOut,4,2026-06-24T15:07:26.862Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,3,T5,psb3d_manual,base-3-matriculas-fundamental,zoom,canvas,zoomOut,2,2026-06-24T15:08:19.580Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,3,T5,psb3d_manual,base-3-matriculas-fundamental,zoom,canvas,zoomIn,2,2026-06-24T15:08:20.065Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,3,T5,psb3d_manual,base-3-matriculas-fundamental,zoom,canvas,zoomOut,2,2026-06-24T15:08:21.481Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,3,T5,psb3d_manual,base-3-matriculas-fundamental,zoom,canvas,zoomIn,1,2026-06-24T15:08:22.229Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,3,T5,psb3d_manual,base-3-matriculas-fundamental,slider,psbDepth,0,,2026-06-24T15:08:28.243Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,3,T5,psb3d_manual,base-3-matriculas-fundamental,slider,psbBreakStartRatio,0.84,,2026-06-24T15:08:30.787Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,3,T5,psb3d_manual,base-3-matriculas-fundamental,slider,psbDepth,6.8,,2026-06-24T15:08:31.923Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,3,T5,psb3d_manual,base-3-matriculas-fundamental,slider,psbBreakStartRatio,0.2,,2026-06-24T15:08:35.403Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,3,T5,psb3d_manual,base-3-matriculas-fundamental,slider,psbFoldVisualHeight,4,,2026-06-24T15:08:38.363Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,3,T5,psb3d_manual,base-3-matriculas-fundamental,slider,psbBreakStartRatio,0.2,,2026-06-24T15:08:40.971Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,3,T5,psb3d_manual,base-3-matriculas-fundamental,slider,psbDepth,50,,2026-06-24T15:08:44.003Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,3,T5,psb3d_manual,base-3-matriculas-fundamental,zoom,canvas,zoomOut,4,2026-06-24T15:08:45.932Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,3,T5,psb3d_manual,base-3-matriculas-fundamental,zoom,canvas,zoomOut,3,2026-06-24T15:08:46.400Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,3,T5,psb3d_manual,base-3-matriculas-fundamental,zoom,canvas,zoomOut,3,2026-06-24T15:08:46.816Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,3,T5,psb3d_manual,base-3-matriculas-fundamental,zoom,canvas,zoomOut,4,2026-06-24T15:08:47.283Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,3,T5,psb3d_manual,base-3-matriculas-fundamental,zoom,canvas,zoomOut,3,2026-06-24T15:08:49.467Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,3,T5,psb3d_manual,base-3-matriculas-fundamental,zoom,canvas,zoomOut,2,2026-06-24T15:08:49.820Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,3,T5,psb3d_manual,base-3-matriculas-fundamental,zoom,canvas,zoomIn,4,2026-06-24T15:08:52.770Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,3,T5,psb3d_manual,base-3-matriculas-fundamental,slider,psbDepth,0,,2026-06-24T15:08:56.603Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,3,T5,psb3d_manual,base-3-matriculas-fundamental,zoom,canvas,zoomIn,8,2026-06-24T15:08:58.666Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,3,T5,psb3d_manual,base-3-matriculas-fundamental,slider,psbDepth,5.4,,2026-06-24T15:09:01.091Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,3,T5,psb3d_manual,base-3-matriculas-fundamental,slider,psbFoldVisualHeight,0.2,,2026-06-24T15:09:04.339Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,3,T5,psb3d_manual,base-3-matriculas-fundamental,slider,psbDepth,0,,2026-06-24T15:09:17.184Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,4,T5,psb25d_llm,base-2-ensino-superior,zoom,canvas,zoomOut,2,2026-06-24T15:10:16.371Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,4,T5,psb25d_llm,base-2-ensino-superior,zoom,canvas,zoomIn,5,2026-06-24T15:10:25.386Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,5,T5,psb25d_opt,base-4-populacao-residente,canvasMouseDown,canvas,977;225,,2026-06-24T15:10:50.288Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,1,5,T5,psb25d_opt,base-4-populacao-residente,canvasMouseUp,canvas,1185;132,,2026-06-24T15:10:50.523Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,2,1,T1,psb25d_opt,base-6-frota-motocicletas,canvasMouseDown,canvas,428;434,,2026-06-24T15:12:15.573Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,2,1,T1,psb25d_opt,base-6-frota-motocicletas,canvasMouseUp,canvas,415;473,,2026-06-24T15:12:15.907Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,2,1,T1,psb25d_opt,base-6-frota-motocicletas,zoom,canvas,zoomIn,3,2026-06-24T15:12:17.187Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,2,1,T1,psb25d_opt,base-6-frota-motocicletas,zoom,canvas,zoomOut,1,2026-06-24T15:12:17.662Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,2,4,T1,psb3d_manual,base-4-populacao-residente,slider,psbBreakStartRatio,0.85,,2026-06-24T15:15:27.700Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,2,4,T1,psb3d_manual,base-4-populacao-residente,slider,psbDepth,31.4,,2026-06-24T15:15:33.747Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,2,4,T1,psb3d_manual,base-4-populacao-residente,zoom,canvas,zoomOut,1,2026-06-24T15:15:34.453Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,2,4,T1,psb3d_manual,base-4-populacao-residente,slider,psbDepth,50,,2026-06-24T15:15:36.411Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,2,4,T1,psb3d_manual,base-4-populacao-residente,zoom,canvas,zoomOut,4,2026-06-24T15:15:37.856Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,2,4,T1,psb3d_manual,base-4-populacao-residente,slider,psbFoldVisualHeight,4,,2026-06-24T15:15:43.837Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,2,5,T1,psb25d_manual,base-5-receita-impostos,slider,Posição da quebra,0.9,,2026-06-24T15:16:35.707Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,2,5,T1,psb25d_manual,base-5-receita-impostos,slider,z,100,,2026-06-24T15:16:38.875Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,2,5,T1,psb25d_manual,base-5-receita-impostos,slider,gapSize,10,,2026-06-24T15:16:41.475Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,2,5,T1,psb25d_manual,base-5-receita-impostos,slider,Posição da quebra,0.07,,2026-06-24T15:16:42.771Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,2,5,T1,psb25d_manual,base-5-receita-impostos,slider,z,0,,2026-06-24T15:16:45.379Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,2,6,T1,psb3d_opt,base-2-ensino-superior,zoom,canvas,zoomOut,1,2026-06-24T15:17:08.814Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,2,T4,psb3d_llm,base-3-matriculas-fundamental,zoom,canvas,zoomOut,1,2026-06-24T15:18:32.020Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,2,T4,psb3d_llm,base-3-matriculas-fundamental,zoom,canvas,zoomIn,1,2026-06-24T15:18:32.403Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,2,T4,psb3d_llm,base-3-matriculas-fundamental,zoom,canvas,zoomOut,7,2026-06-24T15:18:36.435Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,2,T4,psb3d_llm,base-3-matriculas-fundamental,zoom,canvas,zoomIn,1,2026-06-24T15:18:38.402Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,4,T4,psb3d_manual,base-5-receita-impostos,zoom,canvas,zoomOut,3,2026-06-24T15:20:31.095Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,4,T4,psb3d_manual,base-5-receita-impostos,zoom,canvas,zoomIn,1,2026-06-24T15:20:31.911Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,4,T4,psb3d_manual,base-5-receita-impostos,zoom,canvas,zoomOut,1,2026-06-24T15:20:37.281Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,4,T4,psb3d_manual,base-5-receita-impostos,zoom,canvas,zoomIn,1,2026-06-24T15:20:37.694Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,4,T4,psb3d_manual,base-5-receita-impostos,slider,psbDepth,0,,2026-06-24T15:20:43.604Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,4,T4,psb3d_manual,base-5-receita-impostos,slider,psbDepth,39.6,,2026-06-24T15:20:55.307Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,6,T4,psb3d_opt,base-2-ensino-superior,zoom,canvas,zoomOut,1,2026-06-24T15:22:25.355Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,6,T4,psb3d_opt,base-2-ensino-superior,zoom,canvas,zoomOut,3,2026-06-24T15:22:26.389Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,6,T4,psb3d_opt,base-2-ensino-superior,zoom,canvas,zoomOut,3,2026-06-24T15:22:26.739Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,6,T4,psb3d_opt,base-2-ensino-superior,zoom,canvas,zoomOut,4,2026-06-24T15:22:27.223Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,6,T4,psb3d_opt,base-2-ensino-superior,zoom,canvas,zoomOut,4,2026-06-24T15:22:27.623Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,6,T4,psb3d_opt,base-2-ensino-superior,zoom,canvas,zoomOut,3,2026-06-24T15:22:28.041Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,6,T4,psb3d_opt,base-2-ensino-superior,zoom,canvas,zoomOut,6,2026-06-24T15:22:29.742Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,6,T4,psb3d_opt,base-2-ensino-superior,zoom,canvas,zoomIn,4,2026-06-24T15:22:31.057Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,6,T4,psb3d_opt,base-2-ensino-superior,zoom,canvas,zoomIn,4,2026-06-24T15:22:31.508Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,6,T4,psb3d_opt,base-2-ensino-superior,zoom,canvas,zoomOut,13,2026-06-24T15:22:36.490Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,6,T4,psb3d_opt,base-2-ensino-superior,zoom,canvas,zoomOut,6,2026-06-24T15:22:36.975Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,6,T4,psb3d_opt,base-2-ensino-superior,zoom,canvas,zoomIn,8,2026-06-24T15:22:39.409Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,6,T4,psb3d_opt,base-2-ensino-superior,zoom,canvas,zoomOut,1,2026-06-24T15:22:39.791Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,6,T4,psb3d_opt,base-2-ensino-superior,zoom,canvas,zoomOut,5,2026-06-24T15:22:41.709Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,6,T4,psb3d_opt,base-2-ensino-superior,zoom,canvas,zoomIn,5,2026-06-24T15:22:42.306Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,6,T4,psb3d_opt,base-2-ensino-superior,zoom,canvas,zoomOut,6,2026-06-24T15:22:43.874Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,6,T4,psb3d_opt,base-2-ensino-superior,zoom,canvas,zoomOut,2,2026-06-24T15:22:44.458Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,6,T4,psb3d_opt,base-2-ensino-superior,zoom,canvas,zoomIn,13,2026-06-24T15:22:46.295Z
bc2d0820-b64c-4d1d-8548-4674a45a0991,3,6,T4,psb3d_opt,base-2-ensino-superior,zoom,canvas,zoomIn,2,2026-06-24T15:22:46.992Z
