participantId,blockNumber,taskIndexInBlock,taskKey,visualizationId,datasetId,eventType,eventTarget,eventValue,eventSteps,timestamp
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,1,1,T5,psb25d_llm,base-5-receita-impostos,canvasMouseDown,canvas,300;66,,2026-06-24T12:29:05.843Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,1,1,T5,psb25d_llm,base-5-receita-impostos,canvasMouseUp,canvas,299;91,,2026-06-24T12:29:06.535Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,1,1,T5,psb25d_llm,base-5-receita-impostos,zoom,canvas,zoomIn,3,2026-06-24T12:29:27.648Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,1,1,T5,psb25d_llm,base-5-receita-impostos,canvasMouseDown,canvas,296;63,,2026-06-24T12:29:27.875Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,1,1,T5,psb25d_llm,base-5-receita-impostos,canvasMouseUp,canvas,307;125,,2026-06-24T12:29:28.535Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,1,1,T5,psb25d_llm,base-5-receita-impostos,zoom,canvas,zoomOut,2,2026-06-24T12:29:40.749Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,1,1,T5,psb25d_llm,base-5-receita-impostos,zoom,canvas,zoomIn,2,2026-06-24T12:29:41.300Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,1,1,T5,psb25d_llm,base-5-receita-impostos,zoom,canvas,zoomIn,1,2026-06-24T12:29:45.083Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,1,1,T5,psb25d_llm,base-5-receita-impostos,zoom,canvas,zoomOut,4,2026-06-24T12:29:47.150Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,1,1,T5,psb25d_llm,base-5-receita-impostos,canvasMouseDown,canvas,301;67,,2026-06-24T12:29:47.315Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,1,1,T5,psb25d_llm,base-5-receita-impostos,canvasMouseUp,canvas,309;226,,2026-06-24T12:29:48.287Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,1,1,T5,psb25d_llm,base-5-receita-impostos,zoom,canvas,zoomIn,9,2026-06-24T12:29:49.833Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,1,2,T5,psb3d_manual,base-1-pib,slider,psbFoldVisualHeight,1.7,,2026-06-24T12:32:01.439Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,1,2,T5,psb3d_manual,base-1-pib,slider,psbDepth,10,,2026-06-24T12:32:06.865Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,1,2,T5,psb3d_manual,base-1-pib,slider,psbBreakStartRatio,0.2,,2026-06-24T12:32:11.367Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,1,3,T5,psb25d_opt,base-4-populacao-residente,canvasMouseDown,canvas,723;134,,2026-06-24T12:34:06.508Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,1,3,T5,psb25d_opt,base-4-populacao-residente,canvasMouseUp,canvas,723;195,,2026-06-24T12:34:07.095Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,1,3,T5,psb25d_opt,base-4-populacao-residente,canvasMouseDown,canvas,736;133,,2026-06-24T12:34:16.707Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,1,3,T5,psb25d_opt,base-4-populacao-residente,canvasMouseUp,canvas,740;171,,2026-06-24T12:34:17.343Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,1,6,T5,psb25d_manual,base-2-ensino-superior,slider,z,42,,2026-06-24T12:43:44.480Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,1,6,T5,psb25d_manual,base-2-ensino-superior,slider,Posição da quebra,0.46,,2026-06-24T12:44:05.711Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,2,2,T4,psb25d_manual,base-4-populacao-residente,slider,Posição da quebra,0.83,,2026-06-24T12:48:47.080Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,2,2,T4,psb25d_manual,base-4-populacao-residente,slider,Posição da quebra,0.5,,2026-06-24T12:48:59.600Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,2,4,T4,psb3d_manual,base-6-frota-motocicletas,slider,psbDepth,50,,2026-06-24T12:51:51.041Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,2,4,T4,psb3d_manual,base-6-frota-motocicletas,slider,psbDepth,8.8,,2026-06-24T12:52:05.496Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,3,5,T1,psb25d_manual,base-4-populacao-residente,slider,Posição da quebra,0.41,,2026-06-24T13:03:00.848Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,3,5,T1,psb25d_manual,base-4-populacao-residente,slider,z,21.5,,2026-06-24T13:03:15.544Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,3,5,T1,psb25d_manual,base-4-populacao-residente,slider,Posição da quebra,0.32,,2026-06-24T13:03:22.513Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,3,5,T1,psb25d_manual,base-4-populacao-residente,slider,z,50.9,,2026-06-24T13:03:31.320Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,3,6,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbDepth,3,,2026-06-24T13:04:27.601Z
c4bcd132-fe52-4b3d-9844-7cd9e812ef29,3,6,T1,psb3d_manual,base-6-frota-motocicletas,slider,psbBreakStartRatio,0.57,,2026-06-24T13:04:39.952Z
