participantId,blockNumber,taskIndexInBlock,taskKey,visualizationId,datasetId,eventType,eventTarget,eventValue,eventSteps,timestamp
cbbff2ef-8c34-44aa-ae65-b972289ff1da,1,1,T5,psb25d_manual,base-3-matriculas-fundamental,canvasMouseDown,canvas,250;568,,2026-06-24T13:26:27.637Z
cbbff2ef-8c34-44aa-ae65-b972289ff1da,1,1,T5,psb25d_manual,base-3-matriculas-fundamental,canvasMouseUp,canvas,250;568,,2026-06-24T13:26:27.773Z
cbbff2ef-8c34-44aa-ae65-b972289ff1da,1,1,T5,psb25d_manual,base-3-matriculas-fundamental,canvasMouseDown,canvas,511;241,,2026-06-24T13:26:35.869Z
cbbff2ef-8c34-44aa-ae65-b972289ff1da,1,1,T5,psb25d_manual,base-3-matriculas-fundamental,canvasMouseUp,canvas,455;441,,2026-06-24T13:26:36.109Z
cbbff2ef-8c34-44aa-ae65-b972289ff1da,1,1,T5,psb25d_manual,base-3-matriculas-fundamental,slider,Posição da quebra,0.17,,2026-06-24T13:26:44.740Z
cbbff2ef-8c34-44aa-ae65-b972289ff1da,1,1,T5,psb25d_manual,base-3-matriculas-fundamental,slider,z,70.6,,2026-06-24T13:26:52.636Z
cbbff2ef-8c34-44aa-ae65-b972289ff1da,1,3,T5,psb25d_llm,base-4-populacao-residente,canvasMouseDown,canvas,816;203,,2026-06-24T13:31:41.612Z
cbbff2ef-8c34-44aa-ae65-b972289ff1da,1,3,T5,psb25d_llm,base-4-populacao-residente,canvasMouseUp,canvas,630;321,,2026-06-24T13:31:42.092Z
cbbff2ef-8c34-44aa-ae65-b972289ff1da,1,3,T5,psb25d_llm,base-4-populacao-residente,zoom,canvas,zoomIn,4,2026-06-24T13:31:49.744Z
cbbff2ef-8c34-44aa-ae65-b972289ff1da,1,3,T5,psb25d_llm,base-4-populacao-residente,zoom,canvas,zoomOut,4,2026-06-24T13:31:50.254Z
cbbff2ef-8c34-44aa-ae65-b972289ff1da,1,4,T5,psb25d_opt,base-6-frota-motocicletas,canvasMouseDown,canvas,981;122,,2026-06-24T13:34:05.544Z
cbbff2ef-8c34-44aa-ae65-b972289ff1da,1,4,T5,psb25d_opt,base-6-frota-motocicletas,canvasMouseUp,canvas,982;224,,2026-06-24T13:34:05.912Z
cbbff2ef-8c34-44aa-ae65-b972289ff1da,1,5,T5,psb3d_manual,base-2-ensino-superior,zoom,canvas,zoomIn,2,2026-06-24T13:35:48.622Z
cbbff2ef-8c34-44aa-ae65-b972289ff1da,1,5,T5,psb3d_manual,base-2-ensino-superior,slider,psbDepth,30.4,,2026-06-24T13:35:57.332Z
cbbff2ef-8c34-44aa-ae65-b972289ff1da,1,5,T5,psb3d_manual,base-2-ensino-superior,slider,psbBreakStartRatio,0.85,,2026-06-24T13:36:07.484Z
cbbff2ef-8c34-44aa-ae65-b972289ff1da,1,5,T5,psb3d_manual,base-2-ensino-superior,slider,psbDepth,50,,2026-06-24T13:36:16.908Z
