participantId,blockNumber,taskIndexInBlock,taskKey,visualizationId,datasetId,eventType,eventTarget,eventValue,eventSteps,timestamp
d105672d-49a5-477a-af0a-478002c5afbe,1,1,T4,psb3d_llm,base-6-frota-motocicletas,zoom,canvas,zoomOut,3,2026-06-22T19:31:42.094Z
d105672d-49a5-477a-af0a-478002c5afbe,1,1,T4,psb3d_llm,base-6-frota-motocicletas,zoom,canvas,zoomIn,5,2026-06-22T19:31:55.010Z
d105672d-49a5-477a-af0a-478002c5afbe,1,1,T4,psb3d_llm,base-6-frota-motocicletas,zoom,canvas,zoomOut,4,2026-06-22T19:31:55.843Z
d105672d-49a5-477a-af0a-478002c5afbe,1,1,T4,psb3d_llm,base-6-frota-motocicletas,zoom,canvas,zoomIn,2,2026-06-22T19:32:01.597Z
d105672d-49a5-477a-af0a-478002c5afbe,1,2,T4,psb25d_manual,base-3-matriculas-fundamental,canvasMouseDown,canvas,876;293,,2026-06-22T19:33:35.896Z
d105672d-49a5-477a-af0a-478002c5afbe,1,2,T4,psb25d_manual,base-3-matriculas-fundamental,canvasMouseUp,canvas,876;293,,2026-06-22T19:33:36.015Z
d105672d-49a5-477a-af0a-478002c5afbe,1,2,T4,psb25d_manual,base-3-matriculas-fundamental,zoom,canvas,zoomOut,2,2026-06-22T19:33:41.585Z
d105672d-49a5-477a-af0a-478002c5afbe,1,2,T4,psb25d_manual,base-3-matriculas-fundamental,slider,gapSize,10,,2026-06-22T19:33:44.135Z
d105672d-49a5-477a-af0a-478002c5afbe,1,2,T4,psb25d_manual,base-3-matriculas-fundamental,slider,z,0,,2026-06-22T19:33:50.027Z
d105672d-49a5-477a-af0a-478002c5afbe,1,2,T4,psb25d_manual,base-3-matriculas-fundamental,slider,Posição da quebra,0.45,,2026-06-22T19:33:55.063Z
d105672d-49a5-477a-af0a-478002c5afbe,1,2,T4,psb25d_manual,base-3-matriculas-fundamental,canvasMouseDown,canvas,272;124,,2026-06-22T19:34:00.269Z
d105672d-49a5-477a-af0a-478002c5afbe,1,2,T4,psb25d_manual,base-3-matriculas-fundamental,canvasMouseUp,canvas,272;124,,2026-06-22T19:34:00.351Z
d105672d-49a5-477a-af0a-478002c5afbe,1,2,T4,psb25d_manual,base-3-matriculas-fundamental,canvasMouseDown,canvas,281;138,,2026-06-22T19:34:05.220Z
d105672d-49a5-477a-af0a-478002c5afbe,1,2,T4,psb25d_manual,base-3-matriculas-fundamental,canvasMouseUp,canvas,281;138,,2026-06-22T19:34:05.321Z
d105672d-49a5-477a-af0a-478002c5afbe,1,2,T4,psb25d_manual,base-3-matriculas-fundamental,canvasMouseDown,canvas,263;141,,2026-06-22T19:34:06.990Z
d105672d-49a5-477a-af0a-478002c5afbe,1,2,T4,psb25d_manual,base-3-matriculas-fundamental,canvasMouseUp,canvas,263;141,,2026-06-22T19:34:07.103Z
d105672d-49a5-477a-af0a-478002c5afbe,1,2,T4,psb25d_manual,base-3-matriculas-fundamental,zoom,canvas,zoomOut,4,2026-06-22T19:34:10.205Z
d105672d-49a5-477a-af0a-478002c5afbe,1,2,T4,psb25d_manual,base-3-matriculas-fundamental,zoom,canvas,zoomOut,8,2026-06-22T19:34:11.269Z
d105672d-49a5-477a-af0a-478002c5afbe,1,3,T4,psb25d_opt,base-2-ensino-superior,zoom,canvas,zoomIn,8,2026-06-22T19:35:50.404Z
d105672d-49a5-477a-af0a-478002c5afbe,1,3,T4,psb25d_opt,base-2-ensino-superior,canvasMouseDown,canvas,1168;577,,2026-06-22T19:35:55.650Z
d105672d-49a5-477a-af0a-478002c5afbe,1,3,T4,psb25d_opt,base-2-ensino-superior,canvasMouseUp,canvas,1168;577,,2026-06-22T19:35:55.773Z
d105672d-49a5-477a-af0a-478002c5afbe,1,4,T4,psb3d_manual,base-5-receita-impostos,slider,psbFoldVisualHeight,0.2,,2026-06-22T19:37:18.278Z
d105672d-49a5-477a-af0a-478002c5afbe,1,4,T4,psb3d_manual,base-5-receita-impostos,slider,psbBreakStartRatio,0.2,,2026-06-22T19:37:23.332Z
d105672d-49a5-477a-af0a-478002c5afbe,1,4,T4,psb3d_manual,base-5-receita-impostos,slider,psbDepth,50,,2026-06-22T19:37:28.219Z
d105672d-49a5-477a-af0a-478002c5afbe,1,4,T4,psb3d_manual,base-5-receita-impostos,slider,psbBreakStartRatio,0.49,,2026-06-22T19:37:32.896Z
d105672d-49a5-477a-af0a-478002c5afbe,1,5,T4,psb3d_opt,base-4-populacao-residente,zoom,canvas,zoomIn,4,2026-06-22T19:38:48.948Z
d105672d-49a5-477a-af0a-478002c5afbe,1,6,T4,psb25d_llm,base-1-pib,canvasMouseDown,canvas,557;291,,2026-06-22T19:39:41.846Z
d105672d-49a5-477a-af0a-478002c5afbe,1,6,T4,psb25d_llm,base-1-pib,canvasMouseUp,canvas,557;291,,2026-06-22T19:39:41.970Z
