participantId,blockNumber,taskIndexInBlock,taskKey,visualizationId,datasetId,eventType,eventTarget,eventValue,eventSteps,timestamp
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,1,1,T4,psb25d_llm,base-5-receita-impostos,canvasMouseDown,canvas,570;204,,2026-06-24T14:31:23.542Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,1,1,T4,psb25d_llm,base-5-receita-impostos,canvasMouseUp,canvas,479;283,,2026-06-24T14:31:23.966Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,1,2,T4,psb25d_opt,base-3-matriculas-fundamental,canvasMouseDown,canvas,1028;350,,2026-06-24T14:32:46.572Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,1,2,T4,psb25d_opt,base-3-matriculas-fundamental,canvasMouseUp,canvas,1029;353,,2026-06-24T14:32:46.724Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,1,3,T4,psb25d_manual,base-6-frota-motocicletas,slider,Posição da quebra,0.05,,2026-06-24T14:34:15.739Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,1,3,T4,psb25d_manual,base-6-frota-motocicletas,slider,z,100,,2026-06-24T14:34:19.139Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,1,3,T4,psb25d_manual,base-6-frota-motocicletas,slider,Posição da quebra,0.9,,2026-06-24T14:34:30.610Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,1,3,T4,psb25d_manual,base-6-frota-motocicletas,slider,gapSize,10,,2026-06-24T14:34:35.394Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,1,3,T4,psb25d_manual,base-6-frota-motocicletas,slider,z,52.3,,2026-06-24T14:34:40.651Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,1,3,T4,psb25d_manual,base-6-frota-motocicletas,slider,gapSize,25,,2026-06-24T14:34:47.890Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,1,3,T4,psb25d_manual,base-6-frota-motocicletas,slider,z,57.1,,2026-06-24T14:34:52.258Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,1,5,T4,psb3d_llm,base-1-pib,zoom,canvas,zoomIn,6,2026-06-24T14:37:17.223Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,1,6,T4,psb3d_manual,base-2-ensino-superior,slider,psbBreakStartRatio,0.2,,2026-06-24T14:39:20.901Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,1,6,T4,psb3d_manual,base-2-ensino-superior,slider,psbFoldVisualHeight,2.1,,2026-06-24T14:39:26.709Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,1,6,T4,psb3d_manual,base-2-ensino-superior,slider,psbDepth,50,,2026-06-24T14:39:30.085Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,1,6,T4,psb3d_manual,base-2-ensino-superior,slider,psbBreakStartRatio,0.2,,2026-06-24T14:39:34.213Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,1,6,T4,psb3d_manual,base-2-ensino-superior,slider,psbFoldVisualHeight,0.9,,2026-06-24T14:39:36.347Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,1,6,T4,psb3d_manual,base-2-ensino-superior,slider,psbBreakStartRatio,0.2,,2026-06-24T14:39:38.325Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,1,6,T4,psb3d_manual,base-2-ensino-superior,slider,psbFoldVisualHeight,3.6,,2026-06-24T14:39:40.445Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,1,6,T4,psb3d_manual,base-2-ensino-superior,slider,psbFoldVisualHeight,1.7,,2026-06-24T14:39:44.807Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,1,6,T4,psb3d_manual,base-2-ensino-superior,slider,psbBreakStartRatio,0.2,,2026-06-24T14:39:47.509Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,1,6,T4,psb3d_manual,base-2-ensino-superior,slider,psbDepth,50,,2026-06-24T14:39:53.708Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,2,1,T1,psb25d_manual,base-4-populacao-residente,slider,Posição da quebra,0.61,,2026-06-24T14:41:04.260Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,2,1,T1,psb25d_manual,base-4-populacao-residente,canvasMouseDown,canvas,164;173,,2026-06-24T14:41:04.598Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,2,1,T1,psb25d_manual,base-4-populacao-residente,canvasMouseUp,canvas,202;195,,2026-06-24T14:41:04.901Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,2,1,T1,psb25d_manual,base-4-populacao-residente,slider,Posição da quebra,0.54,,2026-06-24T14:41:09.209Z
e3817d4c-14cd-4084-a8ea-68c2b8140e8c,2,1,T1,psb25d_manual,base-4-populacao-residente,slider,gapSize,80,,2026-06-24T14:41:11.445Z
