participantId,blockNumber,taskIndexInBlock,taskKey,visualizationId,datasetId,eventType,eventTarget,eventValue,eventSteps,timestamp
e501754d-440f-4fc9-ad26-e44adcf6859c,1,3,T1,psb25d_opt,base-2-ensino-superior,canvasMouseDown,canvas,597;560,,2026-06-23T20:28:54.318Z
e501754d-440f-4fc9-ad26-e44adcf6859c,1,3,T1,psb25d_opt,base-2-ensino-superior,canvasMouseUp,canvas,597;560,,2026-06-23T20:28:54.429Z
e501754d-440f-4fc9-ad26-e44adcf6859c,1,4,T1,psb3d_manual,base-1-pib,slider,psbBreakStartRatio,0.2,,2026-06-23T20:30:49.241Z
e501754d-440f-4fc9-ad26-e44adcf6859c,1,4,T1,psb3d_manual,base-1-pib,slider,psbBreakStartRatio,0.2,,2026-06-23T20:30:50.763Z
e501754d-440f-4fc9-ad26-e44adcf6859c,1,4,T1,psb3d_manual,base-1-pib,slider,psbBreakStartRatio,0.68,,2026-06-23T20:31:03.666Z
e501754d-440f-4fc9-ad26-e44adcf6859c,1,4,T1,psb3d_manual,base-1-pib,slider,psbDepth,20.6,,2026-06-23T20:31:19.886Z
e501754d-440f-4fc9-ad26-e44adcf6859c,1,4,T1,psb3d_manual,base-1-pib,slider,psbFoldVisualHeight,1.6,,2026-06-23T20:31:29.694Z
e501754d-440f-4fc9-ad26-e44adcf6859c,1,5,T1,psb25d_manual,base-4-populacao-residente,zoom,canvas,zoomIn,1,2026-06-23T20:33:07.004Z
e501754d-440f-4fc9-ad26-e44adcf6859c,1,5,T1,psb25d_manual,base-4-populacao-residente,canvasMouseDown,canvas,1134;366,,2026-06-23T20:33:07.295Z
e501754d-440f-4fc9-ad26-e44adcf6859c,1,5,T1,psb25d_manual,base-4-populacao-residente,canvasMouseUp,canvas,1145;367,,2026-06-23T20:33:07.855Z
e501754d-440f-4fc9-ad26-e44adcf6859c,1,5,T1,psb25d_manual,base-4-populacao-residente,canvasMouseDown,canvas,849;361,,2026-06-23T20:33:08.344Z
e501754d-440f-4fc9-ad26-e44adcf6859c,1,5,T1,psb25d_manual,base-4-populacao-residente,canvasMouseUp,canvas,935;359,,2026-06-23T20:33:08.671Z
e501754d-440f-4fc9-ad26-e44adcf6859c,1,5,T1,psb25d_manual,base-4-populacao-residente,slider,Posição da quebra,0.31,,2026-06-23T20:33:17.752Z
e501754d-440f-4fc9-ad26-e44adcf6859c,1,6,T1,psb25d_llm,base-6-frota-motocicletas,zoom,canvas,zoomIn,1,2026-06-23T20:34:17.463Z
e501754d-440f-4fc9-ad26-e44adcf6859c,1,6,T1,psb25d_llm,base-6-frota-motocicletas,canvasMouseDown,canvas,977;368,,2026-06-23T20:34:18.875Z
e501754d-440f-4fc9-ad26-e44adcf6859c,1,6,T1,psb25d_llm,base-6-frota-motocicletas,canvasMouseUp,canvas,985;363,,2026-06-23T20:34:19.266Z
e501754d-440f-4fc9-ad26-e44adcf6859c,2,2,T4,psb25d_opt,base-1-pib,canvasMouseDown,canvas,454;50,,2026-06-23T20:38:04.036Z
e501754d-440f-4fc9-ad26-e44adcf6859c,2,2,T4,psb25d_opt,base-1-pib,canvasMouseUp,canvas,456;77,,2026-06-23T20:38:04.147Z
e501754d-440f-4fc9-ad26-e44adcf6859c,2,2,T4,psb25d_opt,base-1-pib,canvasMouseDown,canvas,459;100,,2026-06-23T20:38:04.292Z
e501754d-440f-4fc9-ad26-e44adcf6859c,2,2,T4,psb25d_opt,base-1-pib,canvasMouseUp,canvas,460;76,,2026-06-23T20:38:04.468Z
e501754d-440f-4fc9-ad26-e44adcf6859c,2,2,T4,psb25d_opt,base-1-pib,canvasMouseDown,canvas,450;30,,2026-06-23T20:38:04.924Z
e501754d-440f-4fc9-ad26-e44adcf6859c,2,2,T4,psb25d_opt,base-1-pib,canvasMouseUp,canvas,453;7,,2026-06-23T20:38:05.284Z
e501754d-440f-4fc9-ad26-e44adcf6859c,2,2,T4,psb25d_opt,base-1-pib,zoom,canvas,zoomIn,8,2026-06-23T20:38:07.462Z
e501754d-440f-4fc9-ad26-e44adcf6859c,2,2,T4,psb25d_opt,base-1-pib,zoom,canvas,zoomIn,5,2026-06-23T20:38:09.345Z
e501754d-440f-4fc9-ad26-e44adcf6859c,2,2,T4,psb25d_opt,base-1-pib,zoom,canvas,zoomIn,7,2026-06-23T20:38:10.062Z
e501754d-440f-4fc9-ad26-e44adcf6859c,2,6,T4,psb3d_llm,base-3-matriculas-fundamental,zoom,canvas,zoomOut,5,2026-06-23T20:46:48.540Z
e501754d-440f-4fc9-ad26-e44adcf6859c,2,6,T4,psb3d_llm,base-3-matriculas-fundamental,zoom,canvas,zoomIn,7,2026-06-23T20:46:49.689Z
e501754d-440f-4fc9-ad26-e44adcf6859c,3,2,T5,psb25d_manual,base-4-populacao-residente,zoom,canvas,zoomIn,1,2026-06-23T20:51:32.812Z
e501754d-440f-4fc9-ad26-e44adcf6859c,3,2,T5,psb25d_manual,base-4-populacao-residente,canvasMouseDown,canvas,378;198,,2026-06-23T20:51:33.607Z
e501754d-440f-4fc9-ad26-e44adcf6859c,3,2,T5,psb25d_manual,base-4-populacao-residente,canvasMouseUp,canvas,397;269,,2026-06-23T20:51:34.150Z
e501754d-440f-4fc9-ad26-e44adcf6859c,3,2,T5,psb25d_manual,base-4-populacao-residente,slider,Posição da quebra,0.64,,2026-06-23T20:52:02.727Z
e501754d-440f-4fc9-ad26-e44adcf6859c,3,5,T5,psb25d_llm,base-3-matriculas-fundamental,canvasMouseDown,canvas,750;247,,2026-06-23T20:57:07.133Z
e501754d-440f-4fc9-ad26-e44adcf6859c,3,5,T5,psb25d_llm,base-3-matriculas-fundamental,canvasMouseUp,canvas,759;155,,2026-06-23T20:57:07.653Z
e501754d-440f-4fc9-ad26-e44adcf6859c,3,5,T5,psb25d_llm,base-3-matriculas-fundamental,canvasMouseDown,canvas,549;69,,2026-06-23T20:57:08.141Z
e501754d-440f-4fc9-ad26-e44adcf6859c,3,5,T5,psb25d_llm,base-3-matriculas-fundamental,canvasMouseUp,canvas,582;180,,2026-06-23T20:57:08.485Z
