participantId,blockNumber,taskIndexInBlock,taskKey,visualizationId,datasetId,eventType,eventTarget,eventValue,eventSteps,timestamp
fa78fc81-63d8-452c-8a9e-339451da0cce,1,1,T1,psb3d_llm,base-1-pib,zoom,canvas,zoomOut,2,2026-06-22T13:49:41.513Z
fa78fc81-63d8-452c-8a9e-339451da0cce,1,1,T1,psb3d_llm,base-1-pib,zoom,canvas,zoomOut,1,2026-06-22T13:49:42.316Z
fa78fc81-63d8-452c-8a9e-339451da0cce,1,1,T1,psb3d_llm,base-1-pib,zoom,canvas,zoomOut,1,2026-06-22T13:49:47.484Z
fa78fc81-63d8-452c-8a9e-339451da0cce,1,1,T1,psb3d_llm,base-1-pib,zoom,canvas,zoomIn,4,2026-06-22T13:49:48.150Z
fa78fc81-63d8-452c-8a9e-339451da0cce,1,2,T1,psb25d_manual,base-5-receita-impostos,canvasMouseDown,canvas,121;615,,2026-06-22T13:51:44.976Z
fa78fc81-63d8-452c-8a9e-339451da0cce,1,2,T1,psb25d_manual,base-5-receita-impostos,canvasMouseUp,canvas,121;615,,2026-06-22T13:51:45.091Z
fa78fc81-63d8-452c-8a9e-339451da0cce,1,2,T1,psb25d_manual,base-5-receita-impostos,slider,Posição da quebra,0.24,,2026-06-22T13:51:48.318Z
fa78fc81-63d8-452c-8a9e-339451da0cce,1,2,T1,psb25d_manual,base-5-receita-impostos,slider,z,68.7,,2026-06-22T13:51:50.395Z
fa78fc81-63d8-452c-8a9e-339451da0cce,1,2,T1,psb25d_manual,base-5-receita-impostos,canvasMouseDown,canvas,118;619,,2026-06-22T13:51:52.480Z
fa78fc81-63d8-452c-8a9e-339451da0cce,1,2,T1,psb25d_manual,base-5-receita-impostos,canvasMouseUp,canvas,118;619,,2026-06-22T13:51:52.605Z
fa78fc81-63d8-452c-8a9e-339451da0cce,1,2,T1,psb25d_manual,base-5-receita-impostos,canvasMouseDown,canvas,118;619,,2026-06-22T13:51:52.682Z
fa78fc81-63d8-452c-8a9e-339451da0cce,1,2,T1,psb25d_manual,base-5-receita-impostos,canvasMouseUp,canvas,118;619,,2026-06-22T13:51:52.760Z
fa78fc81-63d8-452c-8a9e-339451da0cce,1,2,T1,psb25d_manual,base-5-receita-impostos,canvasMouseDown,canvas,112;617,,2026-06-22T13:51:53.630Z
fa78fc81-63d8-452c-8a9e-339451da0cce,1,2,T1,psb25d_manual,base-5-receita-impostos,canvasMouseUp,canvas,112;617,,2026-06-22T13:51:53.692Z
fa78fc81-63d8-452c-8a9e-339451da0cce,1,2,T1,psb25d_manual,base-5-receita-impostos,canvasMouseDown,canvas,112;617,,2026-06-22T13:51:54.200Z
fa78fc81-63d8-452c-8a9e-339451da0cce,1,2,T1,psb25d_manual,base-5-receita-impostos,canvasMouseUp,canvas,112;617,,2026-06-22T13:51:54.282Z
